Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5qSpFu6V7hBZHNw4dN6t2S,"Bonnet","Bonnet","TiaCorine",2024-01-29,129007,30,true,sjengelbretson2005,2025-04-21T17:45:27Z,"","South Coast Music Group/Interscope Records",0.779,0.643,9,-7.612,1,0.255,0.167,0.00000406,0.112,0.488,159.951,4
spotify:track:2ucKoWiCS8eTk5IUwin4fq,"alleswirdgut","GOODBYE SALÒ","Brutalismus 3000",2024-07-19,199399,41,false,sjengelbretson2005,2025-04-21T17:45:36Z,"techno,hard techno,tekno,gabber,acid techno","Columbia Local",0.663,0.715,5,-5.959,1,0.072,0.00184,0.807,0.0935,0.0722,150.024,4
spotify:track:3bfoE6deRVfiq1VBJcftti,"ALLEINE - Brutalismus 3000 RMX","ALLEINE (Brutalismus 3000 RMX)","Yung Hurn;Brutalismus 3000",2022-10-28,189120,50,false,sjengelbretson2005,2025-04-21T17:45:42Z,"german hip hop,cloud rap,techno,hard techno,tekno,gabber,acid techno","Yung Hurn/WM Germany",0.685,0.918,11,-9.405,1,0.0503,0.0206,0.904,0.0575,0.753,150.003,4
spotify:track:0Ap8hmr8241nTJMa2nvOvn,"Blade","Eros Massacre","Brutalismus 3000",2022-04-29,334645,40,false,sjengelbretson2005,2025-04-21T17:45:50Z,"techno,hard techno,tekno,gabber,acid techno","Brutalismus Records",0.577,0.998,11,-4.487,0,0.0981,0.000684,0.719,0.417,0.24,150.003,4
spotify:track:0sVjBfOflQDwyXgkqxqWvm,"Atmosféra","Eros Massacre","Brutalismus 3000",2022-04-29,364137,32,false,sjengelbretson2005,2025-04-21T17:45:57Z,"techno,hard techno,tekno,gabber,acid techno","Brutalismus Records",0.686,0.975,2,-4.683,1,0.0902,0.0000951,0.773,0.125,0.536,144.973,4
spotify:track:3IVrlcM5gDoj3lghHY9m7I,"Satan Was A Babyboomer","Satan Was A Babyboomer","Brutalismus 3000",2021-04-16,427000,58,false,sjengelbretson2005,2025-04-21T17:46:04Z,"techno,hard techno,tekno,gabber,acid techno","Durch",0.628,0.999,0,-6.841,1,0.0762,0.000297,0.854,0.0869,0.439,155.013,4
spotify:track:3iTrlBCVU1Cd1VkNDqKWWO,"911 Is A Joke","Fear Of A Black Planet","Public Enemy",1990-04-10,197266,41,true,sjengelbretson2005,2025-04-21T17:46:10Z,"old school hip hop,east coast hip hop,hip hop,hardcore hip hop","Def Jam Recordings",0.732,0.788,1,-12.641,0,0.213,0.0118,0,0.137,0.765,103.584,4
spotify:track:51AzUb1mSE4WfbSBAi2OYo,"No Me Arrepiento de Este Amor","No Me Arrepiento De Este Amor","Gilda",2006,227373,65,false,sjengelbretson2005,2025-04-21T17:46:17Z,"cumbia,cuarteto","Leader Music, bajo licencia Cholo Records",0.77,0.855,8,-4.445,1,0.0423,0.329,0.0000133,0.179,0.928,96.073,4
spotify:track:2JuasWPUodaUxf5nwNpciQ,"Nutshell","Jar Of Flies","Alice In Chains",1994,259200,80,false,sjengelbretson2005,2025-04-21T17:46:23Z,"grunge,post-grunge","Columbia",0.384,0.561,3,-10.059,0,0.0296,0.373,0.253,0.0775,0.159,136.136,3
spotify:track:0iZYdGkLpdEvM3igcyVKFj,"pop a pill","pop a pill","mischluft",2023-04-22,235875,45,false,sjengelbretson2005,2025-04-21T17:46:30Z,"hard house,bounce,techno,trance,hypertechno,eurodance","Trashkids",0.732,0.992,6,-5.377,1,0.0992,0.213,0.92,0.0895,0.716,159.976,4
