Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0r3QJbwBuR9UL0ai5qDTw7,"Taunt","Are You Alright?","Lovejoy",2021-05-08,133779,0,false,sjengelbretson2005,2021-05-12T00:45:18Z,"","Anvil Cat Records",0.476,0.834,7,-9.343,1,0.0951,0.0157,0.000034,0.263,0.895,186.844,4
spotify:track:0IUprcNjE2hDtlvY8rq2W9,"One Day","Are You Alright?","Lovejoy",2021-05-08,144616,0,true,sjengelbretson2005,2021-05-12T00:45:22Z,"","Anvil Cat Records",0.332,0.737,10,-8.572,0,0.0349,0.00696,0,0.0519,0.761,183.333,4
spotify:track:6ShHxD0hoJSXajmcpQ5Ri8,"Sex Sells","Are You Alright?","Lovejoy",2021-05-08,246536,0,true,sjengelbretson2005,2021-05-12T00:45:25Z,"","Anvil Cat Records",0.468,0.721,0,-9.175,1,0.0343,0.00574,0,0.111,0.69,145.989,4
spotify:track:0HaNrvszmWl5vIwKuADD5Z,"Cause for Concern","Are You Alright?","Lovejoy",2021-05-08,202927,0,true,sjengelbretson2005,2021-05-12T00:45:28Z,"","Anvil Cat Records",0.395,0.87,3,-9.437,0,0.05,0.000408,0.0617,0.267,0.595,150.028,4
spotify:track:3wJz1Ilnk1baicYqQpOpMi,"The Sea of Tranquility","The Sea of Tranquility","The Music Tapes;Orbiting Human Circus",2019-11-06,169062,2,false,sjengelbretson2005,2021-05-13T01:00:29Z,"anti-folk","Merge Records",0.237,0.29,8,-13.037,1,0.0411,0.913,0.855,0.285,0.168,125.905,3
spotify:track:1DKIJOomwCAaYntt5JduYI,"A Werewolf","Dancing Is Depressing (Expanded Edition)","Attic Abasement",2018-04-06,229692,0,false,sjengelbretson2005,2021-05-13T01:01:40Z,"midwest emo,anti-folk,lo-fi indie","Father/Daughter Records",0.599,0.412,7,-12.266,1,0.0411,0.0648,0.00961,0.122,0.321,120.409,4
spotify:track:13vwUuL2l4XoDKUr42ULLt,"cotton eye joe","cotton eye joe","benches",2018-12-25,170666,27,false,sjengelbretson2005,2021-05-13T01:03:29Z,"","Ignant Benches",0.651,0.565,0,-10.199,1,0.0292,0.139,0.00000206,0.156,0.303,89.974,4
spotify:track:0Zfxs7Q9QUjGaZ9yQ7kSLO,"Wet Cigarettes","""Eggs""","Strawberry Milk Cult",2020-01-02,173878,0,false,sjengelbretson2005,2021-05-29T02:59:08Z,"lo-fi indie","Spinnup",0.535,0.387,0,-11.742,1,0.0257,0.614,0.00211,0.106,0.375,149.933,4
spotify:track:1stq77EqE6I3YtINBLEpwK,"Purple Honey","Purple Honey","Strawberry Milk Cult",2020-01-01,264000,29,true,sjengelbretson2005,2021-05-29T02:59:58Z,"lo-fi indie","Strawberry Milk Cult",0.565,0.692,2,-12.396,1,0.292,0.902,0.871,0.149,0.33,160.021,4
spotify:track:6w4AVPA4Ph2hdYxq64tMwt,"Mustard","Strawberry Milk Cult","Strawberry Milk Cult",2019-11-13,226829,0,false,sjengelbretson2005,2021-05-29T03:03:25Z,"lo-fi indie","Spinnup",0.788,0.354,4,-19.449,1,0.0473,0.642,0.244,0.0643,0.832,122.992,4
spotify:track:1AejjKQyLmwb7w9NbUnj06,"Toby Flenderson","Strawberry Milk Cult","Strawberry Milk Cult",2019-11-13,189473,0,false,sjengelbretson2005,2021-05-29T03:03:36Z,"lo-fi indie","Spinnup",0.561,0.379,11,-14.49,0,0.0267,0.618,0.000522,0.174,0.357,75.989,4
spotify:track:0xnaVZ3AErTyDlpF6AlMTo,"A Swift Kick to the Jaw","Strawberry Milk Cult","Strawberry Milk Cult",2019-11-13,159771,0,true,sjengelbretson2005,2021-05-29T03:09:26Z,"lo-fi indie","Spinnup",0.619,0.42,7,-17.545,1,0.0616,0.481,0.0283,0.106,0.77,164.939,4
spotify:track:1hSCu3Anl3phJlpowt90bS,"Beorge Gush","Strawberry Milk Cult","Strawberry Milk Cult",2019-11-13,199152,0,true,sjengelbretson2005,2021-05-29T03:11:31Z,"lo-fi indie","Spinnup",0.518,0.185,2,-22.189,1,0.0473,0.653,0.00865,0.108,0.317,166.151,4
spotify:track:4lxytyhGHnolWmgNUojji6,"Dear God, It's a Psychopath Killer and He's Coming Right for Us!","Strawberry Milk Cult","Strawberry Milk Cult",2019-11-13,146504,0,false,sjengelbretson2005,2021-05-29T03:17:26Z,"lo-fi indie","Spinnup",0.64,0.401,7,-15.154,1,0.0509,0.465,0.653,0.143,0.744,102.965,4
