Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2Xlx1ATkGYjYjmNn0w7O59,"Sabor Dulce","Los Belkings (Ayer y Hoy)","Los Belkings",1973-10-23,208213,19,false,sjengelbretson2005,2025-06-27T02:26:32Z,"","XM",0.658,0.439,4,-18.708,0,0.0334,0.133,0.89,0.13,0.482,106.403,4
spotify:track:39gbKvvclVc2w1xMa2PCRd,"She Says","Volume 1","So Klarity",2022-02-24,252500,42,false,sjengelbretson2005,2025-06-27T02:26:32Z,"trip hop","Delicate Records",0.541,0.677,11,-8.499,1,0.0646,0.0794,0.762,0.189,0.961,191.979,4
spotify:track:5SBIwdQmFaMJUU1JophV41,"EL RITMO CHANCLETA","XOXO","Aleroj",2024-02-07,201000,36,true,sjengelbretson2005,2025-06-27T02:26:32Z,"neoperreo,guaracha,uk funky","Muakk",0.789,0.773,1,-8.526,1,0.267,0.0594,0.736,0.141,0.749,160.012,4
spotify:track:6n1VP9KfPXgNUeRjF5Bz5A,"Androide","Fairy Path","Seelenkodex",2025-02-17,147121,27,false,sjengelbretson2005,2025-06-27T02:26:32Z,"","Seelenmusic",0.777,0.969,11,-8.691,1,0.105,0.0568,0.851,0.125,0.707,154.965,4
spotify:track:4ZyOjIxFyf6UWdERULkFKE,"Staring Into The Sun","Staring Into The Sun","DJ HEARTSTRING",2025-05-23,196227,54,false,sjengelbretson2005,2025-06-27T02:26:32Z,"hard house,eurodance,trance,hypertechno","Columbia Local",0.556,0.924,10,-5.505,0,0.0332,0.000789,0.83,0.12,0.816,147.978,4
spotify:track:3trWBbNMteWnN2KHJCpxcF,"Xai","Xai","Mount XLR",2025-04-04,208309,21,false,sjengelbretson2005,2025-06-27T02:26:32Z,"","SoundSupply_Service",0.837,0.721,4,-10.479,0,0.0676,0.0108,0.856,0.0917,0.547,137.001,4
spotify:track:4tSqUOtMf7vNkkdCwj5gXl,"Tie It Up","Pipistrella","Nicolini;Hanna Tembo",2025-02-03,174097,40,false,sjengelbretson2005,2025-06-27T02:26:32Z,"","South of North",0.853,0.436,4,-9.285,0,0.0321,0.111,0.475,0.235,0.558,107.443,4
spotify:track:0p1odhs9JGRwTbvq1XBH9m,"BIG ONE","BIG ONE","Ian Isiah",2025-04-23,114545,20,true,sjengelbretson2005,2025-06-27T02:26:32Z,"","Last Gang",0.878,0.88,8,-1.11,1,0.338,0.0903,0,0.327,0.757,131.848,4
spotify:track:15MUF6KnRsUQcvD43tZUVx,"Silhouettes","Noiris","loopgarden",2025-01-29,122105,62,false,sjengelbretson2005,2025-06-27T02:26:32Z,"jazz house","loopgarden under exclusive license to Amuseio AB",0.331,0.257,1,-13.707,0,0.0301,0.936,0.882,0.397,0.111,110.393,4
spotify:track:3vFG1ZcB68ACOdeY99aYIm,"Plate","Forever Forever","Genevieve Artadi",2023-03-17,207194,34,false,sjengelbretson2005,2025-06-27T02:26:32Z,"indie jazz","Brainfeeder",0.698,0.809,1,-9.273,1,0.047,0.125,0.923,0.198,0.886,144.276,4
spotify:track:6GQLzrq2qr3hgAwlUODJ9k,"BENDECIO","BENDECIO","PETERBLUE",2024-07-01,230539,51,true,sjengelbretson2005,2025-06-27T02:26:32Z,"hard house","PETERBLUE",0.716,0.955,11,-7.901,0,0.0839,0.00418,0.862,0.104,0.798,142.988,4
spotify:track:6vLKVWEuOCQAWEaHv2yknm,"Like I Like It","Too Big For B-Side","Mau P",2025-05-23,224414,67,false,sjengelbretson2005,2025-06-27T02:26:32Z,"tech house,house","Diynamic Music",0.74,0.968,6,-6.124,0,0.0547,0.00306,0.8,0.0877,0.687,128,4
spotify:track:0AKyYXhm2BIf4T5rYXEnjE,"Start Movin","Start Movin","CHRONOSONDER",2024-11-26,216000,1,false,sjengelbretson2005,2025-06-27T02:26:32Z,"rally house,house","CHRONOSONDER",0.895,0.531,6,-11.735,0,0.0946,0.0299,0.851,0.254,0.47,124.997,4
spotify:track:6MGDifi2vBHgHLpqCUmX16,"Anticipate","Anticipate","El Michels Affair;Clairo",2025-06-02,189284,54,false,sjengelbretson2005,2025-06-27T02:26:32Z,"bedroom pop","Big Crown Records",0.699,0.672,9,-7.991,1,0.0411,0.495,0.415,0.148,0.843,144.795,4
