Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4YQImHflXSiIMXntcwPkx8,"Bongos (feat. Megan Thee Stallion)","Bongos (feat. Megan Thee Stallion)","Cardi B;Megan Thee Stallion",2023-09-08,175099,62,true,sjengelbretson2005,2023-09-08T05:08:44Z,"","Atlantic Records",0.726,0.747,4,-4.644,0,0.377,0.0935,0,0.0312,0.889,121.928,4
spotify:track:19kHhX6f6EfLU7rcO3RqjO,"Back On 74","Volcano","Jungle",2023-08-11,209482,80,false,sjengelbretson2005,2023-09-08T06:30:35Z,"","Caiola Records",0.62,0.761,10,-7.282,0,0.175,0.207,0.000147,0.269,0.194,146.003,4
spotify:track:2YB9zdlis5KT7v9CA4Iha2,"If I Speak (Shut The Fuck Up)","If I Speak (Shut The Fuck Up)","Soul Glo",2023-09-05,157217,27,true,sjengelbretson2005,2023-09-08T06:32:23Z,"hardcore punk,hardcore,screamo,mathcore,noise rock","Epitaph",0.27,0.95,7,-5.816,1,0.115,0.000277,0.925,0.118,0.175,93.893,4
spotify:track:1XgsBtX1glXMrclgp6JBb5,"Hijos De La Noche","Roots EP, Pt. 1","Shermanology",2023-09-08,216000,33,false,sjengelbretson2005,2023-09-08T06:36:04Z,"tech house,house","D'EAUPE",0.936,0.693,6,-7.726,0,0.135,0.00151,0.728,0.19,0.523,129.933,4
spotify:track:67zbluYGkqOlxXjC7A2eoG,"Lose My Cool - Franc Moody Remix","3:33am (Remixes)","Amber Mark;Franc Moody",2017-07-21,257301,50,false,sjengelbretson2005,2023-09-08T16:01:44Z,"alternative r&b,indie soul,nu disco","EMI",0.82,0.509,1,-5.15,1,0.0419,0.0558,0.018,0.359,0.762,103.007,4
spotify:track:3nFJbZCHP4d9vduKjJLdBL,"Never Too Much","Never Too Much","Luther Vandross",1981-07-23,230269,74,false,sjengelbretson2005,2023-09-08T16:11:54Z,"quiet storm,soul,classic soul","Epic/Legacy",0.734,0.586,2,-11.866,1,0.129,0.125,0,0.0367,0.762,109.933,4
spotify:track:4675yUu8AUbE72T94BkLCD,"Beautiful","The Best Of Snoop Dogg","Snoop Dogg;Pharrell Williams;Uncle Charlie Wilson",2005-01-01,299146,66,true,sjengelbretson2005,2023-09-08T16:12:03Z,"g-funk,west coast hip hop,gangster rap,old school hip hop,hip hop,rap","Priority Records",0.893,0.74,11,-4.936,0,0.132,0.299,0,0.0881,0.963,101.025,4
spotify:track:3jDdpx9PMlfMBS5tOBHFm9,"Return of the Mack","Return of the Mack","Mark Morrison",1996-04-22,213093,79,false,sjengelbretson2005,2023-09-08T18:49:51Z,"","WM UK",0.715,0.833,2,-5.379,1,0.108,0.00631,0,0.164,0.612,95.487,4
spotify:track:7vvRkLPIvfjjmCIqNxBuEZ,"Back To Life","Keep On Movin'","Soul II Soul;Caron Wheeler",1989-01-01,228266,68,false,sjengelbretson2005,2023-09-08T18:50:00Z,"new jack swing","Virgin",0.817,0.484,7,-11.659,1,0.143,0.0515,0.000213,0.0391,0.671,100.978,4
spotify:track:1qEa4lfsQQvRkKyEnu7TAf,"Signs","R&G (Rhythm & Gangsta): The Masterpiece","Snoop Dogg;Charlie Wilson;Justin Timberlake",2004-01-01,236373,38,false,sjengelbretson2005,2023-09-08T18:50:12Z,"g-funk,west coast hip hop,gangster rap,old school hip hop,hip hop,rap,sexy drill","Geffen",0.941,0.701,7,-5.29,1,0.131,0.0298,0.000256,0.181,0.652,112.948,4
spotify:track:6plp1nJtm4Y3m87qmDCy61,"Toothache","Toothache / Zoom","Topaz Jones",2018-02-09,223278,46,true,sjengelbretson2005,2023-09-08T18:53:03Z,"","Topaz Jones",0.809,0.743,0,-4.049,0,0.109,0.12,0,0.122,0.83,122.062,4
spotify:track:792UwI6utk5DMQUT1KXa5E,"Me Myself and I","3 Feet High and Rising","De La Soul",1989-03-03,229333,57,false,sjengelbretson2005,2023-09-08T18:53:23Z,"jazz rap,east coast hip hop","AOI Records",0.889,0.966,2,-4.702,0,0.113,0.165,0.00000228,0.649,0.811,114.61,4
spotify:track:0uqvSVhGgQTIdj9G51vhvv,"Finally","Finally","CeCe Peniston",1992-01-01,245000,66,false,sjengelbretson2005,2023-09-08T21:03:57Z,"","A&M",0.791,0.658,7,-11.128,1,0.0445,0.00653,0,0.0472,0.842,120.066,4
