Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0GrygSHJw7Hkc7Ih5X1wkX,"Hello (feat. Chlöe & KayCyy)","B.I.B.L.E.","Fivio Foreign;Chlöe;KayCyy",2022-04-08,264794,30,true,sjengelbretson2005,2022-10-30T21:16:59Z,"brooklyn drill,new york drill,drill,uk drill","RichFish/Columbia",0.538,0.522,6,-8.901,0,0.334,0.246,0,0.227,0.346,99.57,3
spotify:track:1SlGaBvTqX0gb24ouXonOo,"Fair","Fair","Normani",2022-03-18,184012,50,false,sjengelbretson2005,2022-10-30T21:17:24Z,"","RCA Records Label",0.721,0.364,5,-7.81,0,0.0483,0.673,0.000054,0.105,0.4,94.098,4
spotify:track:1aV463wM1seX0bUZodQ5z6,"That's What I'm Here For","New Beginning","SWV",1996-04-23,289026,31,false,sjengelbretson2005,2022-10-30T21:17:37Z,"new jack swing,r&b","RCA Records Label",0.743,0.57,1,-9.977,1,0.109,0.0359,0.0003,0.342,0.641,82.237,4
spotify:track:0Pie5DFAHHxpkONFUsAI6s,"Aneurysm","Incesticide","Nirvana",1992-12-14,275600,66,false,sjengelbretson2005,2022-10-30T21:18:39Z,"grunge,rock","Geffen",0.298,0.823,7,-9.793,1,0.0816,0.0000766,0.0000753,0.132,0.235,135.596,4
spotify:track:6RQnRYot6B3TPZsMbbSJ20,"Never Give Up On The Good Times","Spiceworld","Spice Girls",1997-01-01,270200,51,false,sjengelbretson2005,2022-10-30T21:19:21Z,"","Virgin Records",0.707,0.905,5,-5.534,0,0.0376,0.00674,0.0326,0.138,0.641,116.998,4
spotify:track:2ZCu2xskiEBCV3y0eu0zJG,"Treat Me","Treat Me","Chlöe",2022-04-08,149865,54,false,sjengelbretson2005,2022-10-30T21:19:38Z,"","Parkwood Entertainment/Columbia",0.708,0.793,7,-2.518,0,0.0417,0.0442,0.00000262,0.0362,0.503,94.005,4
spotify:track:67v2UHujFruxWrDmjPYxD6,"Persuasive (with SZA)","Persuasive (with SZA)","Doechii;SZA",2022-07-22,210346,67,true,sjengelbretson2005,2022-10-30T21:20:21Z,"r&b","Top Dawg Entertainment/Capitol Records",0.756,0.554,7,-7.166,0,0.145,0.211,0,0.274,0.563,120.028,4
spotify:track:52ojopYMUzeNcudsoz7O9D,"New Person, Same Old Mistakes","Currents","Tame Impala",2015-07-17,363240,83,false,sjengelbretson2005,2022-10-30T21:21:18Z,"neo-psychedelic,indie","Universal Music Australia Pty. Ltd.",0.47,0.809,8,-6.74,1,0.0495,0.272,0.00671,0.0491,0.49,151.836,4
spotify:track:54IbnYEdA3ymfxv07WgN3b,"Your Teeth In My Neck","Isolation","Kali Uchis",2018-04-06,186181,69,false,sjengelbretson2005,2022-10-30T21:21:45Z,"","EMI",0.853,0.604,3,-5.794,0,0.0511,0.0696,0.00000165,0.135,0.86,116,4
spotify:track:3M83cWfWcFXtkavdM8NuEZ,"Saturday Night Divas","Spiceworld","Spice Girls",1997-01-01,265893,50,false,sjengelbretson2005,2022-10-30T21:23:30Z,"","Virgin Records",0.626,0.676,11,-8.373,0,0.0603,0.122,0.000474,0.0301,0.584,168.715,4
