Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2ovLRfotBro4W3pRaEha8I,"Rain","Twilight","bôa",2001-03-21,236266,54,false,sjengelbretson2005,2024-04-07T19:13:45Z,"","Nettwerk Music Group",0.593,0.747,9,-8.156,1,0.0345,0.302,0.0000198,0.185,0.318,97.071,4
spotify:track:3DqOJ2BoddzZpNdty3okJH,"RIZZ","RIZZ","AYYBO",2023-11-15,200787,70,true,sjengelbretson2005,2024-04-07T19:14:13Z,"tech house,house","GDB RECORDS",0.855,0.839,7,-5.733,1,0.153,0.0736,0.426,0.32,0.729,127.044,4
spotify:track:2VMH2r2jqBpxk5kWjM8HCo,"Me Me Me","Me Me Me EP","Catz 'n Dogz;Nala",2023-09-01,338446,41,false,sjengelbretson2005,2024-04-07T19:14:19Z,"tech house,house,indie dance","Diynamic Music",0.847,0.869,0,-7.03,1,0.053,0.0117,0.49,0.0436,0.773,124.994,4
spotify:track:1Yc6cwvDp9hApVzrOEeA5X,"Mind Reader","Black Sheep","Cakes da Killa;STOUT",2024-03-22,191219,0,false,sjengelbretson2005,2024-04-07T19:14:26Z,"ballroom vogue,hip house","Young Art Records",0.551,0.855,11,-5.545,0,0.194,0.0116,0.0000349,0.086,0.701,116.017,4
spotify:track:7bf4nfz09yp6w7L7r9hQ1V,"Eternal Life","Grace","Jeff Buckley",1994,292360,59,false,sjengelbretson2005,2024-04-07T19:14:32Z,"","Columbia/Legacy",0.514,0.983,9,-2.605,1,0.0887,0.00179,0.0000122,0.169,0.181,95.877,4
spotify:track:2xaaJcmvMOmpDbTwlWnjFh,"Alter Ego (with JT)","Alter Ego (with JT)","Doechii;JT",2024-03-29,204094,76,true,sjengelbretson2005,2024-04-07T19:14:37Z,"","Top Dawg Entertainment/Capitol Records",0.841,0.725,11,-5.314,0,0.0624,0.00821,0.00000215,0.519,0.731,127.047,4
spotify:track:5NOH1b1GanDHuc4pwhoPR1,"Romantic (feat. Tiwa Savage)","Romantic (feat. Tiwa Savage)","Korede Bello;Tiwa Savage",2016-01-05,225933,44,false,sjengelbretson2005,2024-04-07T19:14:42Z,"afrobeats,afrobeat,afropop,azonto,dancehall,afropiano,afro r&b,hiplife,afroswing","Mavin Records",0.764,0.593,1,-4.026,1,0.0456,0.0886,0.000296,0.0621,0.251,103.993,4
spotify:track:77s5tSJ40fA7Xg0M2iSCNs,"Igi Orombo (feat. Tiwa Savage)","The Journey","Sean Tizzle;Tiwa Savage",2014-04-17,268669,0,false,sjengelbretson2005,2024-04-07T19:14:47Z,"afrobeats,afropop,afrobeat,afro adura,azonto,afropiano,afro r&b,hiplife,afroswing","DIFFERENCE ENTERTAINMENT",0.554,0.911,6,-4.106,1,0.0966,0.226,0,0.205,0.866,129.864,4
spotify:track:6Uhx0EMpNhiq3TWZu9mbcb,"Don't You Want to Stay?","The Essential Bill Withers","Bill Withers",2013-08-20,244120,17,false,sjengelbretson2005,2024-04-07T19:14:52Z,"soul","Columbia/Legacy",0.447,0.51,3,-12.698,0,0.0348,0.723,0.422,0.185,0.525,141.251,4
spotify:track:1k2ybm1oz7rVPchTKCgMMz,"Use Me","The Essential Bill Withers","Bill Withers",2013-08-20,222533,39,false,sjengelbretson2005,2024-04-07T19:15:09Z,"soul","Columbia/Legacy",0.767,0.666,11,-10.223,0,0.0545,0.0422,0.00276,0.0743,0.937,154.51,4
