Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0ePc8Rih4qNgRXvhLHIgx4,"Bloom","Bloom","Galdive",2024-03-08,233095,0,false,sjengelbretson2005,2025-01-15T01:52:24Z,"indonesian r&b,indonesian indie","Galdive",0.917,0.498,3,-7.449,0,0.0439,0.526,0.0116,0.157,0.691,126.06,4
spotify:track:2QLNDKL7hZyh2OZ8UL9WrV,"Hope","Negro Swan","Blood Orange;Diddy;Tei Shi",2018-08-24,239767,51,false,sjengelbretson2005,2025-01-15T01:52:24Z,"art pop,hip hop,east coast hip hop","Domino Recording Co",0.413,0.227,5,-10.871,1,0.0756,0.411,0,0.0912,0.354,86.35,4
spotify:track:3Ri0GwqGOGxZGTOsG1wurV,"I'm Goin' Down","My Life","Mary J. Blige",1994,222360,33,false,sjengelbretson2005,2025-01-15T01:52:24Z,"r&b","Geffen*",0.587,0.322,0,-9.28,1,0.0506,0.721,0,0.127,0.236,93.336,3
spotify:track:4jG37eyJFoSeWGPvlptPWh,"Whining Vixen","Whining Vixen","Charly Black;DJ Tropical",2015-05-12,186083,39,true,sjengelbretson2005,2025-01-15T01:52:24Z,"dancehall,soca","DJ Tropical Productions",0.904,0.671,0,-4.994,0,0.091,0.000634,0,0.132,0.893,110.074,4
spotify:track:3FTtAV8d9qHyMjlvAGOPdu,"e-motions (with Erika de Casier)","demon time","Mura Masa;Erika de Casier",2022-09-16,168723,40,false,sjengelbretson2005,2025-01-15T01:52:24Z,"alternative r&b","Polydor Records",0.796,0.556,10,-5.901,1,0.034,0.671,0.0272,0.115,0.472,128,4
spotify:track:2mBNIt6P5TPuly5JdKUPzH,"Digital girl - funk remix","Digital girl","DJ Suzy",2024-08-07,174225,34,false,sjengelbretson2005,2025-01-15T01:52:24Z,"","Kira Krash",0.773,0.29,6,-16.258,0,0.0559,0.295,0.74,0.162,0.779,130.002,4
spotify:track:4hTFbz1G3He7e3MKqXjcGx,"Bad Idea","Bird's Eye","Ravyn Lenae",2024-08-09,134786,45,false,sjengelbretson2005,2025-01-15T01:52:24Z,"alternative r&b,indie soul","Atlantic Records",0.717,0.409,1,-8.753,0,0.0402,0.124,0.888,0.117,0.834,156.994,4
spotify:track:0OQWttGvtkNs5rnhTdqWx9,"Better Than That","Sensational","Erika de Casier",2021-05-21,236727,29,false,sjengelbretson2005,2025-01-15T01:52:24Z,"alternative r&b","4AD",0.47,0.527,10,-9.488,0,0.0468,0.313,0.325,0.131,0.301,145.04,5
spotify:track:64DmMeUYcofOWdkUhCBR3c,"Say Cheese","EAT (NXT Soundtrack)","Poppy",2021-06-08,162247,3,false,sjengelbretson2005,2025-01-15T01:52:24Z,"","Sumerian Records",0.452,0.893,10,-5.284,0,0.114,0.000272,0.258,0.308,0.42,124.805,4
spotify:track:1M31zIMamohkItOjLaBbtx,"V.A.N","V.A.N","Bad Omens;Poppy",2024-01-24,274098,15,false,sjengelbretson2005,2025-01-15T01:52:24Z,"metalcore","Sumerian Records",0.636,0.828,7,-5.321,1,0.071,0.000423,0.206,0.374,0.297,102.52,4
