Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:59q5QMiY9jptYpDkgLGRsC,"Emi Aluta - Zamrock Remix","Emi Aluta (Zamrock Remix)","Seun Kuti;Egypt 80;Sampa the Great",2025-01-15,209360,10,false,sjengelbretson2005,2025-03-14T15:18:02Z,"afrobeat","Record Kicks",0.635,0.642,11,-6.748,0,0.0876,0.0605,0.0000457,0.381,0.771,82.877,4
spotify:track:7zyBL0LZndcnPXsbdhiqWp,"obvious","choke enough","Oklou",2025-02-07,135667,54,false,sjengelbretson2005,2025-03-14T15:18:11Z,"art pop,hyperpop","True Panther Records",0.611,0.191,8,-12.752,1,0.0367,0.959,0.325,0.0982,0.136,98.654,4
spotify:track:4mUR5Tv0CvJtpmnUtzeIgd,"Garden Of Eden","MAYHEM","Lady Gaga",2025-03-07,239720,74,false,sjengelbretson2005,2025-03-14T15:18:22Z,"art pop,pop","Interscope Records",0.673,0.906,1,-3.972,1,0.0338,0.00181,0.0000032,0.133,0.614,124.966,4
spotify:track:0Tqn5Th0wk55eLdga96vZM,"Perfect Celebrity","MAYHEM","Lady Gaga",2025-03-07,229252,67,false,sjengelbretson2005,2025-03-14T15:18:29Z,"art pop,pop","Interscope Records",0.618,0.87,7,-4.35,1,0.059,0.00433,0,0.0812,0.372,103.975,4
spotify:track:5IoPnNiYAOvHHJpz13wzRL,"Vanish Into You","MAYHEM","Lady Gaga",2025-03-07,244915,72,false,sjengelbretson2005,2025-03-14T15:18:34Z,"art pop,pop","Interscope Records",0.559,0.838,11,-4.572,0,0.0307,0.00117,0,0.0773,0.6,112.03,3
spotify:track:0ElVpg9XIswx3XWs6kUj6a,"Zombieboy","MAYHEM","Lady Gaga",2025-03-07,213337,67,false,sjengelbretson2005,2025-03-14T15:18:39Z,"art pop,pop","Interscope Records",0.606,0.885,0,-3.922,0,0.0516,0.00268,0,0.212,0.875,122.092,4
spotify:track:4Z8rzKijW9QefBOIfHoHEV,"Why Did I Say Goodbye","The Collection","Sally Shapiro;Tommy '86",2016-11-18,376219,23,false,sjengelbretson2005,2025-03-14T15:18:44Z,"italo disco,synthpop,synthwave,vaporwave,darkwave","Paper Bag Records",0.533,0.802,6,-11.784,0,0.0452,0.00298,0.698,0.0439,0.499,115.995,4
spotify:track:63yoRZd5zl6Ah30hfDm97k,"M@GICAL CURE! LOVE SHOT! (feat. Hatsune Miku)","M@GICAL CURE! LOVE SHOT!","SAWTOWNE;Hatsune Miku",2024-03-19,201875,66,false,sjengelbretson2005,2025-03-14T15:18:49Z,"vocaloid","KARENT",0.526,0.945,9,-3.944,1,0.107,0.0249,0.542,0.187,0.816,192.031,4
spotify:track:4wtlgHjO57Yla78P2XuqGN,"Drifting on Bethel","You Like Music","death's dynamic shroud;dj galen;galen tipton",2024-05-10,189125,17,false,sjengelbretson2005,2025-03-14T15:18:55Z,"vaporwave,plunderphonics,idm,hyperpop","Ghost Diamond",0.708,0.981,11,-3.032,0,0.239,0.187,0.699,0.131,0.881,162.014,4
spotify:track:0uLZMy9nTqC2eITbI5AOoZ,"ooh","Still","Erika de Casier",2024-02-21,243320,25,false,sjengelbretson2005,2025-03-14T15:18:59Z,"alternative r&b","4AD",0.606,0.585,1,-7.309,1,0.0437,0.0392,0.000606,0.0808,0.597,169.976,4
