Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5xMw6qCcpd2gBXPGTegC4W,"SOS","SOS","SZA",2022-12-09,117773,61,true,sjengelbretson2005,2022-12-09T17:02:46Z,"r&b","Top Dawg Entertainment/RCA Records",0.507,0.657,7,-7.356,0,0.233,0.669,0.00000697,0.0947,0.506,119.159,1
spotify:track:3OHfY25tqY28d16oZczHc8,"Kill Bill","SOS","SZA",2022-12-09,153946,78,false,sjengelbretson2005,2022-12-09T17:02:49Z,"r&b","Top Dawg Entertainment/RCA Records",0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,4
spotify:track:2wSTnntOPRi7aQneobFtU4,"Shirt","SOS","SZA",2022-12-09,181840,69,true,sjengelbretson2005,2022-12-09T17:03:04Z,"r&b","Top Dawg Entertainment/RCA Records",0.848,0.512,3,-7.72,0,0.102,0.228,0.00232,0.0879,0.572,120.009,4
spotify:track:190IqlryWu91WBKeDgZqZz,"Only in My Dreams","Superclean, Vol. I","The Marías",2017-11-03,170893,68,false,sjengelbretson2005,2022-12-09T19:39:14Z,"bedroom pop","Superclean Records",0.518,0.496,10,-11.607,1,0.0292,0.41,0.1,0.0999,0.281,143.921,4
spotify:track:6IZvVAP7VPPnsGX6bvgkqg,"PRIDE.","DAMN.","Kendrick Lamar",2017-04-14,275253,81,true,sjengelbretson2005,2022-12-09T20:14:25Z,"hip hop,west coast hip hop","Aftermath",0.665,0.535,4,-7.056,0,0.0572,0.0786,0.0000168,0.154,0.37,138.842,4
spotify:track:51c94ac31swyDQj9B3Lzs3,"Change (In the House of Flies)","White Pony","Deftones",2000,299533,83,false,sjengelbretson2005,2022-12-12T19:35:52Z,"nu metal,alternative metal,rap metal,shoegaze,rock","Rhino",0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,4
spotify:track:1158ckiB5S4cpsdYHDB9IF,"My Own Summer (Shove It)","Around the Fur","Deftones",1997-10-27,214760,83,false,sjengelbretson2005,2022-12-12T21:04:24Z,"nu metal,alternative metal,rap metal,shoegaze,rock","Maverick",0.443,0.781,1,-4.277,1,0.0377,0.0000133,0.205,0.166,0.372,71.841,4
spotify:track:5O8L4I2S4izFGDjvP7xAKv,"You Know You're Right","Nirvana","Nirvana",2002-10-29,217000,70,false,sjengelbretson2005,2023-01-01T20:49:01Z,"grunge,rock","Geffen",0.289,0.716,5,-6.53,0,0.106,0.0407,0.00123,0.135,0.344,168.049,4
spotify:track:2YodwKJnbPyNKe8XXSE9V7,"Lithium","Nevermind (Remastered)","Nirvana",1991-09-26,257053,73,false,sjengelbretson2005,2022-12-16T12:43:23Z,"grunge,rock","Geffen",0.678,0.656,7,-6.41,1,0.0381,0.00174,0,0.0631,0.485,123.207,4
spotify:track:5gRcv46AMTrosmTOqrOV3Q,"Dumb","In Utero","Nirvana",1993-09-21,151893,73,false,sjengelbretson2005,2022-12-16T23:36:32Z,"grunge,rock","Geffen",0.697,0.395,6,-13.58,1,0.0281,0.428,0.653,0.173,0.876,113.589,4
