Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3tkAjejDMq2QJIZ7Ll0vvP,"Noise in my Head","Animal Kingdom","spookyghostboy",2019-04-12,194902,32,false,sjengelbretson2005,2021-03-09T03:51:52Z,"lo-fi indie","Oat Milk Industries and Many Hats Endeavors",0.46,0.451,4,-6.799,0,0.027,0.291,0.0156,0.308,0.281,149.937,4
spotify:track:5MbrIiPKJgsUeaAeSOkQGy,"Unbreak My Heart","100% Hits - 90's","Toni Braxton",2016-04-08,270200,0,false,sjengelbretson2005,2021-03-16T21:43:16Z,"r&b","HITMASTER",0.628,0.411,11,-9.181,0,0.0282,0.429,0,0.116,0.135,109.943,4
spotify:track:1z6WtY7X4HQJvzxC4UgkSf,"Love On Top","4","Beyoncé",2011-06-24,267413,73,false,sjengelbretson2005,2021-03-16T21:48:03Z,"","Parkwood Entertainment/Columbia",0.652,0.749,0,-5.248,1,0.0886,0.0848,0,0.604,0.651,94.103,4
spotify:track:5Aq3Z1Il2YpXh1bQ9fkBJZ,"Cars","Cars/Kick","Lucas Lex",2019-09-07,186488,0,false,sjengelbretson2005,2021-03-16T21:58:20Z,"hyperpop","AKITE'S REVENGE",0.702,0.427,7,-16.265,1,0.0397,0.0241,0.441,0.476,0.744,129.997,4
spotify:track:56faZoV6GokAXKve3rdb1L,"HML","The New Happiness","Sisyfuss",2018-09-20,259384,0,false,sjengelbretson2005,2021-03-16T22:00:09Z,"midwest emo","Sisyfuss",0.636,0.646,6,-12.22,0,0.416,0.401,0.00000128,0.639,0.546,130.002,4
spotify:track:7kQfhWvwtk3yD4ZD6GU0bp,"MF Gloom","Strawberry Milk Cult","Strawberry Milk Cult",2019-11-13,226153,0,true,sjengelbretson2005,2021-03-22T00:19:16Z,"lo-fi indie","Spinnup",0.851,0.336,6,-15.945,0,0.0868,0.0865,0.0353,0.0779,0.89,116.984,4
spotify:track:6ouso4ZJmq9ypjWlsyCU6z,"Chloe","Requiem for a Fatty","beard",2020-08-03,151603,10,false,sjengelbretson2005,2021-03-22T00:23:42Z,"","Beard Records",0.565,0.303,0,-11.97,1,0.0314,0.816,0.000175,0.3,0.109,80.02,4
spotify:track:1QjHWaBoTaySCPQCvE2gyl,"Gently","Gently","Pretoria",2019-11-23,212162,0,false,sjengelbretson2005,2021-03-22T00:25:04Z,"","Pretoria",0.836,0.453,9,-11.762,1,0.0475,0.115,0.115,0.235,0.505,114.98,4
spotify:track:1vnhHeYs264b5tFePuPx2p,"Sangria","Sangria","The Plastic Love",2019-05-03,198620,24,false,sjengelbretson2005,2021-03-22T00:33:19Z,"","The Plastic Love",0.382,0.65,7,-8.277,1,0.0432,0.191,0.0000916,0.171,0.495,174.028,3
spotify:track:6LqJyTXlT3mVsRitpA3pYz,"Judy Byrd","Judy Byrd","Juniper Avenue",2019-08-18,192757,27,false,sjengelbretson2005,2021-03-22T00:38:48Z,"","1328883 Records DK",0.497,0.869,4,-5.429,1,0.04,0.01,0.0000011,0.164,0.962,169.892,4
