Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:65ZK2zk1YFTnaD7D4deD37,"Dean's Dream","Big Lizard In My Back Yard","The Dead Milkmen",1985-06-01,109133,36,false,sjengelbretson2005,2022-07-19T17:27:46Z,"punk,folk punk","Ryko/Rhino",0.4,0.696,6,-14.939,0,0.0352,0.00647,0.000192,0.2,0.888,110.651,4
spotify:track:2tRI6j8RxFwrxoRKs7dnV8,"Double Dare Ya","The First Two Records","Bikini Kill",2014-04-29,160860,46,false,sjengelbretson2005,2022-07-19T17:36:45Z,"riot grrrl,queercore,punk","Bikini Kill Records",0.335,0.855,4,-6.762,1,0.0701,0.000298,0.00173,0.483,0.559,186.528,4
spotify:track:6Slt6WiWnriaqCb8xXb2ZT,"Did It On’em","Pink Friday","Nicki Minaj",2010-01-01,212346,64,true,sjengelbretson2005,2022-07-23T02:56:24Z,"","Nicki Minaj/Cash Money",0.563,0.414,7,-7.032,1,0.349,0.0445,0,0.204,0.474,155.829,4
spotify:track:0eNNdGYl6dSubUYgr0HhOH,"Hello Kitty Knife","Gentle Leader","Peach Kelli Pop",2018-05-25,120048,25,false,sjengelbretson2005,2022-07-23T04:41:33Z,"riot grrrl","Mint Records",0.472,0.883,9,-4.471,1,0.0357,0.00634,0.011,0.218,0.817,111.048,4
spotify:track:21MwEJ8tHezcPy77BaELJ6,"Bodies","Never Mind The Bollocks, Here's The Sex Pistols","Sex Pistols",1977-10-27,183000,41,true,sjengelbretson2005,2022-07-23T04:42:05Z,"punk,proto-punk","Rhino/Warner Records",0.157,0.989,9,-5.065,1,0.222,0.0324,0.0000338,0.337,0.196,157.609,4
spotify:track:1ToQ6keeZaZBIphCfQBMmV,"Soul Razer","Dead Man's Path","Malevolent Creation",2015-10-02,241093,22,false,sjengelbretson2005,2022-07-23T04:44:52Z,"death metal,grindcore,thrash metal","Century Media",0.47,0.981,9,-4.509,1,0.132,0.00000906,0.111,0.313,0.0914,101.546,4
spotify:track:3G1QJ5yuNw385SULJFEjzJ,"Breeding Death","Breeding Death - Single","Bloodbath",2000-07-13,265026,32,true,sjengelbretson2005,2022-08-14T03:47:43Z,"death metal,metal,grindcore","Century Media",0.236,0.916,1,-7.586,1,0.0686,0.00000901,0.0079,0.199,0.297,102.199,4
spotify:track:4AvEiztmKVQzuqhknwUq2N,"Summoning Redemption","Gateways To Anihilation","Morbid Angel",2000,436693,24,true,sjengelbretson2005,2022-08-14T03:56:07Z,"death metal,grindcore,metal,thrash metal,black metal","Earache Records",0.442,0.949,4,-8.588,0,0.0673,0.0000689,0.103,0.862,0.0485,90.104,4
spotify:track:1CdqVF1ywD0ZO1zXtB9yWa,"Break Your Heart","Rokstarr","Taio Cruz;Ludacris",2010-01-01,186266,70,false,sjengelbretson2005,2022-07-23T23:44:20Z,"southern hip hop","Universal-Island Records Ltd.",0.666,0.899,8,-4.676,1,0.0281,0.00156,0,0.0678,0.616,122.049,4
spotify:track:4JRs49S2iWLrYKppB2Nmql,"Staplegun","gasoline","Baby Guts",2007-01-01,114053,32,false,sjengelbretson2005,2022-07-29T23:36:18Z,"riot grrrl,queercore","guilt ridden pop",0.321,0.928,9,-4.211,0,0.0811,0.0000398,0.0747,0.217,0.594,94.064,4
spotify:track:4G9UNG2N8JKONHhyK6ZiBO,"American River","Make Room","Destroy Boys",2018-10-19,143785,0,false,sjengelbretson2005,2022-07-29T23:37:12Z,"riot grrrl,queercore","DesBoys Music",0.469,0.967,10,-2.851,0,0.0631,0.00376,0,0.249,0.834,92.496,4
