Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7azOuDeJGbxt5mvq3GQHXp,"True Blue","True Blue","Madonna",1986-06-30,257466,59,false,sjengelbretson2005,2022-01-05T12:43:14Z,"","Warner Records",0.798,0.909,11,-4.258,1,0.045,0.231,0,0.0502,0.866,117.947,4
spotify:track:4B2r9HXgUqRcPwUG3BYPlc,"Dress You Up","Celebration (double disc version)","Madonna",2009-09-18,242240,49,false,sjengelbretson2005,2022-01-05T13:12:36Z,"","Warner Records",0.634,0.896,0,-3.073,0,0.0318,0.0298,0.00369,0.1,0.825,136.098,4
spotify:track:75FEaRjZTKLhTrFGsfMUXR,"Running Up That Hill (A Deal With God)","Hounds Of Love","Kate Bush",1985,298933,8,false,sjengelbretson2005,2022-01-05T19:27:28Z,"art pop,baroque pop,art rock","Parlophone UK",0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,4
spotify:track:437zif9LFe5vrsPqMXwl37,"The Bridge","Just Because I'm A Woman","Dolly Parton",1968-05-04,153706,32,false,sjengelbretson2005,2022-01-06T05:16:23Z,"country,classic country","RLG/BMG Heritage",0.702,0.233,6,-9.218,1,0.0365,0.278,0,0.0447,0.32,121.232,4
spotify:track:5fdhThPDe6jQQDqCyWrdAn,"Jolene","Jolene (Expanded Edition)","Dolly Parton",1974,161533,73,false,sjengelbretson2005,2022-01-06T05:19:03Z,"country,classic country","RLG/Legacy",0.674,0.537,1,-10.971,0,0.0363,0.566,0,0.131,0.809,110.578,4
spotify:track:1mBXtxxXZNbPlHjTvTa71y,"Captain Spacey","Captain Spacey","Sonic Sea Turtles",2019-08-02,255832,32,true,sjengelbretson2005,2022-01-09T16:13:23Z,"midwest emo","1034235 Records DK",0.278,0.726,8,-10.875,0,0.0511,0.023,0.000057,0.121,0.164,199.543,4
spotify:track:7HnMIrTT5w8gXJpeZcSg4K,"Cherry Coke","Cherry Coke","Better Than This",2019-10-16,175773,32,false,sjengelbretson2005,2022-01-10T19:31:28Z,"surf rock","1501293 Records DK",0.452,0.434,5,-15.766,1,0.0288,0.105,0.313,0.0794,0.428,107.93,4
spotify:track:5n6Lgo7r6BKx2E3tXZuVe3,"Sail Away","Sail Away","The Long Faces",2020-06-12,224453,55,false,sjengelbretson2005,2022-01-10T19:36:56Z,"","The Long Faces",0.316,0.734,4,-5.731,0,0.047,0.308,0.0353,0.118,0.595,121.625,4
spotify:track:2ldunHrbr3v4JKOBwQSjYl,"All the Funds","Careful Kid","Yabadum",2014-05-30,400986,28,false,sjengelbretson2005,2022-01-10T19:44:33Z,"","Yabadum",0.372,0.796,4,-5.476,0,0.0743,0.0128,0.0219,0.12,0.326,120.782,4
spotify:track:0U0B3hqrArh7wUqV29uLnW,"Chamber of Reflection","Chamber of Reflection","Steezy Knicks",2017-08-13,239083,39,false,sjengelbretson2005,2022-01-10T20:47:38Z,"","Purp Room Records",0.445,0.73,3,-5.461,0,0.0349,0.0443,0.0000349,0.0726,0.571,131.926,4
spotify:track:1ueJkfwPrAQMiLBB0OxI7w,"Train to Nowhere (feat. Johnny Young, Sekai Murashige & Chrome Canyon) [From the HBO Max Original Infinity Train: Book 4]","Train to Nowhere (feat. Johnny Young, Sekai Murashige & Chrome Canyon) [From the HBO Max Original Infinity Train: Book 4]","Infinity Train;Chrome Canyon;Johnny Young;Sekai Murashige",2021-04-16,57070,24,false,sjengelbretson2005,2022-01-13T12:44:24Z,"synthwave,modern blues,blues,classic blues","Cartoon Network / WaterTower Music",0.646,0.566,5,-10.253,1,0.043,0.00393,0.0000103,0.0953,0.53,84.994,4
spotify:track:2BmrTfv7o5fMApOtEHWhXX,"You Give Good Love","Whitney Houston (The Deluxe Anniversary Edition)","Whitney Houston",1985-02-14,275386,37,false,sjengelbretson2005,2022-01-13T12:58:42Z,"","Arista/Legacy",0.491,0.514,2,-7.809,0,0.04,0.699,0,0.0924,0.491,149.833,4
spotify:track:1TSToAkH7rfXgaqlaFr5S9,"Let's Wait Awhile","Control","Janet Jackson",1986-02-04,279093,0,false,sjengelbretson2005,2022-01-14T12:39:20Z,"new jack swing","A&M",0.591,0.188,1,-17.256,1,0.0377,0.82,0,0.127,0.378,172.681,4
spotify:track:2gdKJ1nhQOwgkKZlWXRPVJ,"2023","2023","Blue Rain Boots",2019-01-20,262034,36,true,sjengelbretson2005,2022-01-19T12:43:22Z,"","Blue Rain Boots Records",0.675,0.639,2,-8.63,1,0.0352,0.0609,0,0.0842,0.339,113.432,4
spotify:track:5w7LSuYZNCeCpi2Ytisska,"Never Wanna Fall in Love With U","Never Wanna Fall in Love With U","nelward",2020-02-05,181301,40,false,sjengelbretson2005,2022-01-19T12:46:57Z,"","nelward",0.924,0.592,1,-6.898,1,0.0448,0.028,0.00000537,0.138,0.968,93,4
spotify:track:5ni544nPwgGMFGcTvLZBOk,"I Wish I Was Stephen Malkmus","I Wish I Was Stephen Malkmus","beabadoobee",2019-09-19,231860,0,true,sjengelbretson2005,2022-01-19T12:49:53Z,"bedroom pop","Dirty Hit Ltd",0.413,0.783,4,-3.954,1,0.0405,0.0702,0,0.0924,0.652,161.821,4
