Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2BHj31ufdEqVK5CkYDp9mA,"Mayonaka no Door / Stay With Me","Miki Matsubara Best Collection","Miki Matsubara",2008,312293,69,false,sjengelbretson2005,2022-06-06T15:07:36Z,"city pop,j-pop","PONY CANYON INC.",0.658,0.747,5,-6.615,1,0.0431,0.176,0.00000849,0.0789,0.792,108.259,4
spotify:track:4rrbptVnZifk4wC5mvNDPm,"My War","My War","Black Flag",1984-03-01,226333,49,false,sjengelbretson2005,2022-06-09T17:09:49Z,"punk,hardcore punk,skate punk,hardcore,proto-punk","SST Records",0.215,0.503,1,-16.318,0,0.0463,0.65,0.0283,0.098,0.35,186.866,1
spotify:track:6A8OnjnpShshNpcqWtZRjr,"Papa Don't Preach","True Blue","Madonna",1986-06-30,268533,65,false,sjengelbretson2005,2022-06-19T01:06:56Z,"","Warner Records",0.833,0.934,5,-3.243,0,0.0313,0.343,0.00000755,0.0521,0.964,121.879,4
spotify:track:7j5TIXPi0cCbSSqItmbyZy,"Vogue","The Immaculate Collection","Madonna",1990,317080,69,false,sjengelbretson2005,2022-06-19T01:07:00Z,"","Sire/Warner Records",0.747,0.84,3,-7.701,0,0.0421,0.00348,0.00656,0.44,0.305,115.997,4
spotify:track:22sLuJYcvZOSoLLRYev1s5,"Material Girl","Celebration (double disc version)","Madonna",2009-09-18,240280,74,false,sjengelbretson2005,2022-06-19T01:07:06Z,"","Warner Records",0.742,0.883,0,-3.419,1,0.0329,0.335,0.00000751,0.0964,0.978,136.506,4
spotify:track:2IvetNzSZMH5gwjInoyr18,"It's Raining Men","Success","The Weather Girls",1982,325426,65,false,sjengelbretson2005,2022-06-19T01:07:14Z,"","Entertainment Co./Columbia",0.69,0.744,1,-12.721,1,0.0613,0.034,0.598,0.453,0.56,136.918,4
spotify:track:6XqJtTLH92Pjti2BDcKAVV,"Raindrop","Soaked","Hot Flash Heat Wave",2017-06-02,213093,35,false,sjengelbretson2005,2022-06-19T01:10:31Z,"surf rock","OIM Records",0.352,0.594,9,-4.937,1,0.0305,0.00136,0.0301,0.138,0.441,149.961,4
spotify:track:0gsl92EMIScPGV1AU35nuD,"All By Myself","Falling into You","Céline Dion",1996-03-11,312306,71,false,sjengelbretson2005,2022-06-19T01:10:35Z,"variété française","Columbia",0.344,0.325,11,-10.005,0,0.0287,0.35,0.0223,0.0686,0.0775,118.515,4
spotify:track:1ReJVAsBFgJ5E8ijuXDZbG,"A.C.L.","The Symposium","The Symposium",2017-04-20,279010,39,false,sjengelbretson2005,2022-06-19T01:10:47Z,"","The Symposium",0.597,0.308,3,-11.571,1,0.0277,0.0563,0.734,0.0815,0.72,77.721,4
spotify:track:1KhvUPSCzhKTjKzA8Y5xJr,"Lovely","Chroma","Mt. Eddy",2017-06-15,203098,38,true,sjengelbretson2005,2022-06-19T01:11:00Z,"midwest emo","Uncool Records",0.419,0.778,9,-4.274,1,0.0416,0.339,0,0.334,0.585,168.448,4
spotify:track:6BzSWeDsh6egbOs57UfrXY,"Caitlyn","Awkward Pop Songs","Jank",2016-04-06,280613,37,false,sjengelbretson2005,2022-06-19T01:11:09Z,"midwest emo,math rock","Lou Diamond",0.334,0.755,8,-6.375,1,0.0476,0.0129,0.0625,0.0368,0.321,82.794,4
spotify:track:614SyP4aFacmQOtY0vQ5h6,"Versace Summer","Versace Summer","Jank",2018-03-30,290866,38,true,sjengelbretson2005,2022-06-19T01:11:14Z,"midwest emo,math rock","Lou Diamond",0.514,0.943,1,-5.245,1,0.0903,0.00103,0.0000256,0.109,0.456,96.751,4
spotify:track:1Wcl1vZMgJmFXLmBPYLHyl,"Grimey","Boisad","Beach Goons",2016-11-21,110442,0,true,sjengelbretson2005,2022-06-19T01:11:18Z,"surf rock,garage rock","Enci Records",0.453,0.925,7,-6.195,1,0.0562,0.0000268,0.519,0.406,0.362,111.934,4
spotify:track:3ColS9fTe0fzGZ4CdOSh0u,"Hrsb","Hoodratscumbags","Beach Goons",2018-08-24,210674,0,true,sjengelbretson2005,2022-06-19T01:11:23Z,"surf rock,garage rock","Enci Records",0.238,0.96,1,-3.837,0,0.0652,0.0000481,0.75,0.107,0.334,118.84,4
spotify:track:5IXoU9iEF4rpHoAviherHk,"Trust","Heaven Surrounds You","Surf Curse",2019-09-13,167618,0,false,sjengelbretson2005,2022-06-19T01:11:27Z,"indie","Surf Curse",0.444,0.813,2,-8.392,0,0.0286,0.264,0.166,0.119,0.905,175.953,4
spotify:track:45i70K1PefHafKui2WxH0M,"Oh Ana","Touch Up","Mother Mother",2007-05-08,197080,1,false,sjengelbretson2005,2022-06-19T01:11:35Z,"","Last Gang",0.512,0.525,5,-7.152,1,0.0429,0.672,0.0000166,0.112,0.337,128.054,4
spotify:track:1F5A4LpF8ylUVtPoMAvNvn,"Raspberry","Spreading Rumours","GROUPLOVE",2013-09-17,196026,56,false,sjengelbretson2005,2022-06-19T01:11:40Z,"indie","Canvasback/ATL",0.492,0.779,3,-5.022,1,0.0498,0.0292,0,0.129,0.445,104.966,4
