Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0qvlhVNm7L5IWabWF5hlEL,"Rock The Boat","Aaliyah","Aaliyah",2001-07-07,274733,1,false,sjengelbretson2005,2022-09-30T13:54:07Z,"r&b","Blackground Records, LLC",0.637,0.725,5,-5.073,1,0.0333,0.0702,0.00438,0.203,0.415,92.99,4
spotify:track:4gEQcoKNoLFLyhory3Y5Zr,"If You Let Me","Sunbeam","Alina Baraz",2021-09-24,135346,0,false,sjengelbretson2005,2022-09-30T13:54:12Z,"","Alina Baraz LLC under exclusive license to UnitedMasters LLC",0.605,0.686,5,-8.605,1,0.0439,0.55,0.438,0.145,0.467,138.088,4
spotify:track:3xcapG4WdzvsER4g70MjKc,"Surprise","Surprise","Chlöe",2022-06-17,155298,51,false,sjengelbretson2005,2022-10-30T21:15:10Z,"","Parkwood Entertainment/Columbia",0.729,0.74,4,-4.12,0,0.0556,0.193,0,0.132,0.857,139.01,4
spotify:track:18sytW2s53Of6NVudQyUlH,"Breakin' My Heart (Pretty Brown Eyes)","Meant To Be Mint","Mint Condition",1991-01-01,356960,67,false,sjengelbretson2005,2022-09-30T14:04:11Z,"quiet storm,new jack swing,r&b","Perspective Records",0.672,0.52,7,-9.965,0,0.0407,0.0985,0.00000128,0.0365,0.551,137.213,4
spotify:track:2zbjlcLi1VQWqDNYdhyx1l,"So Anxious","100% Ginuwine","Ginuwine",1999-03-15,276066,72,false,sjengelbretson2005,2022-09-30T16:03:41Z,"r&b","550 Music",0.733,0.395,6,-11.959,0,0.0366,0.279,0.00000237,0.468,0.661,96.085,4
spotify:track:2zwmugV2IbUwKq5JgOWEpv,"Mary Jane (All Night Long)","My Life","Mary J. Blige",1994-01-01,279240,67,false,sjengelbretson2005,2022-09-30T16:03:51Z,"r&b","Uptown",0.784,0.298,5,-9.549,0,0.0543,0.127,0.0000327,0.0678,0.845,87.172,4
spotify:track:4G1qRhOk1YY0kewtMaCrMC,"Rain","Release Some Tension","SWV",1997-07-29,264506,64,false,sjengelbretson2005,2022-09-30T16:06:53Z,"new jack swing,r&b","RCA Records Label",0.643,0.486,4,-10.443,0,0.0278,0.337,0.00000386,0.702,0.146,138.151,3
spotify:track:0Q0IVlqMV64kNLlwjPj0Hl,"Killing Me Softly With His Song","The Score (Expanded Edition)","Fugees;Ms. Lauryn Hill",1996-02-13,298666,81,true,sjengelbretson2005,2022-10-05T18:35:15Z,"east coast hip hop,neo soul","Columbia",0.765,0.289,4,-17.125,0,0.147,0.0268,0.00000177,0.562,0.501,92.413,4
spotify:track:3xt38eiTdCsndVsajy55wW,"Splitting from Me","VIOLET","Head High",2022-04-20,184097,21,true,sjengelbretson2005,2022-10-06T14:03:51Z,"","Draven Noire",0.286,0.688,0,-11.715,1,0.0654,0.0000448,0.0746,0.302,0.291,164.993,4
spotify:track:3CczWPmaz03mSTr6qnqXnc,"wasted affairs","wasted affairs","Mind’s Eye",2021-04-03,168149,0,false,sjengelbretson2005,2022-10-06T14:43:30Z,"","Mind’s Eye under exclusive license to Amuseio AB",0.455,0.868,1,-7.913,0,0.051,0.0209,0.00527,0.15,0.205,99.977,4
spotify:track:0Yue9xdK8DrISp8AeEpTDY,"Pretty Baby","Parallel Lines","Blondie",1978-09-23,203159,40,false,sjengelbretson2005,2022-10-06T16:50:43Z,"","Chrysalis\EMI Records (USA)",0.495,0.873,7,-5.152,1,0.0434,0.0511,0.000133,0.0462,0.725,142.663,4
spotify:track:073myZCVLEcmiG8Vf9zCXg,"Laugh My Head Off","To Mother","Babes In Toyland ",1991,214240,12,false,sjengelbretson2005,2022-10-06T18:18:58Z,"riot grrrl,grunge,queercore","Ryko/Rhino",0.271,0.884,11,-12.135,1,0.0896,0.000292,0.361,0.326,0.485,152.533,4
spotify:track:4VedfquAzkjR15ntcWmNfL,"Petals","Celebrity Skin","Hole",1998-01-01,329240,69,false,sjengelbretson2005,2022-10-07T02:35:38Z,"riot grrrl,grunge","DGC",0.449,0.824,4,-6.567,0,0.0403,0.0000518,0.0337,0.368,0.223,114.907,4
spotify:track:4DukzQv7lF6DXe6Un7lghr,"BREAK MY SOUL - THE QUEENS REMIX","BREAK MY SOUL (THE QUEENS REMIX)","Beyoncé;Madonna",2022-07-26,356000,52,false,sjengelbretson2005,2022-10-07T02:45:38Z,"","Parkwood Entertainment/Columbia",0.765,0.768,1,-6.215,1,0.106,0.037,0.000302,0.0563,0.445,119.988,4
spotify:track:6TSM5vkz0WzyZsNAKKYDcw,"Someday","Mariah Carey","Mariah Carey",1990-06-12,245101,50,false,sjengelbretson2005,2022-10-07T02:56:13Z,"christmas","Columbia",0.684,0.818,1,-8.686,0,0.0405,0.207,0.00000219,0.0251,0.937,109.864,4
spotify:track:4tYpYYoOI7WDxbCnPninwE,"Black Cat","Rhythm Nation 1814","Janet Jackson",1989-09-19,290573,43,false,sjengelbretson2005,2022-10-07T02:57:08Z,"new jack swing","A&M",0.705,0.913,4,-7.253,0,0.0484,0.103,0.00111,0.216,0.665,114.959,4
spotify:track:0DnGfA1r8pAssJCuq4ojla,"Still Got The Blues","Still Got The Blues","Gary Moore",1990-01-01,370866,71,false,sjengelbretson2005,2022-10-07T03:08:59Z,"blues,blues rock","Virgin Records",0.189,0.39,9,-14.497,0,0.0353,0.257,0.000152,0.122,0.32,169.563,3
spotify:track:0q9mq2TknlmqiX6x6IxmMS,"It's All Coming Back to Me Now - Radio Version","The Very Best of Celine Dion","Céline Dion",2019-01-18,329666,49,false,sjengelbretson2005,2022-10-07T03:11:31Z,"variété française","Columbia",0.393,0.503,0,-8.191,1,0.0425,0.716,0,0.0981,0.285,87.84,4
