Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2OYtcqflvzQwh3cMPmTHs4,"There’s Fear In Letting Go","TRUE POWER","I Prevail",2022-08-19,234945,65,false,sjengelbretson2005,2023-11-01T02:59:33Z,"metalcore,metal","Fearless Records",0.492,0.869,0,-6.403,1,0.0673,0.000879,0.00185,0.588,0.136,123.118,4
spotify:track:5InrTlQeClBr55lHREONCp,"I Still Love You - 2022 Remastered","Creatures Of The Night (40th Anniversary / Super Deluxe)","KISS",1982,366533,46,false,sjengelbretson2005,2023-11-01T03:19:39Z,"glam rock,glam metal,hard rock,rock,classic rock","UMe Direct 2",0.385,0.65,4,-6.338,0,0.0321,0.000488,0.0000742,0.828,0.0757,144.773,3
spotify:track:1yc53HK08sDab7PDFgnLWk,"Laid to Rest","Ashes of the Wake (15th Anniversary)","Lamb of God",2004-08-31,230127,1,true,sjengelbretson2005,2023-11-01T03:19:59Z,"groove metal,metal,heavy metal,nu metal,thrash metal,death metal","Epic",0.366,0.956,10,-3.725,0,0.108,0.000293,0.00447,0.449,0.159,104.016,3
spotify:track:6AAZigYqOch79lKcrSBOv0,"Killpop",".5: The Gray Chapter (Special Edition)","Slipknot",2014-10-15,225066,65,true,sjengelbretson2005,2023-11-01T03:53:54Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.306,0.926,1,-2.754,0,0.0912,0.000311,0.000644,0.0776,0.483,158.47,4
spotify:track:0HSqXHUdHUbDjWxYIClohv,"Angel","Angel Of Retribution","Judas Priest",2005-02-28,264200,52,false,sjengelbretson2005,2023-11-01T04:06:37Z,"heavy metal,metal,hard rock,glam metal","Epic",0.532,0.441,11,-7.86,0,0.0243,0.014,0,0.11,0.204,83.998,4
spotify:track:5BsGmbPJyupA70FlD7NtbS,"Luxury","Broke with Expensive Taste","Azealia Banks",2014-11-07,168096,68,true,sjengelbretson2005,2023-11-01T04:18:53Z,"ballroom vogue,hip house","Prospect Park",0.689,0.91,8,-6.808,1,0.184,0.0196,0.0000181,0.272,0.569,121.988,4
spotify:track:6Poyf51k7W3NKnsGwAI90B,"Barbie Dreams","Queen","Nicki Minaj",2018-08-10,279866,57,true,sjengelbretson2005,2023-11-01T04:20:30Z,"","Young Money/Cash Money Records",0.85,0.787,8,-4.134,0,0.338,0.313,0,0.194,0.7,87.983,4
spotify:track:4mmkhcEm1Ljy1U9nwtsxUo,"Through The Wire","The College Dropout","Kanye West",2004-02-10,221226,76,true,sjengelbretson2005,2023-11-01T04:20:37Z,"rap","Roc-A-Fella",0.571,0.739,7,-6.11,1,0.247,0.00865,0.00000521,0.158,0.66,83.089,4
spotify:track:4ZYAU4A2YBtlNdqOUtc7T2,"Red Ruby Da Sleeze","Red Ruby Da Sleeze","Nicki Minaj",2023-03-03,214445,58,true,sjengelbretson2005,2023-11-01T04:20:43Z,"","Republic Records",0.655,0.738,1,-6.235,1,0.254,0.108,0,0.11,0.314,99.4,4
spotify:track:7ne2hzW4jaU5tacaCI4kJH,"Your face","Your face","Wisp",2023-04-04,227426,1,false,sjengelbretson2005,2023-11-01T04:20:50Z,"shoegaze","Music Soup/Interscope Records",0.549,0.761,4,-7.489,1,0.0269,0.00616,0.826,0.156,0.326,134.026,4
