Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0SxFyA4FqmEQqZVuAlg8lf,"The First Time Ever I Saw Your Face","First Take","Roberta Flack",1969,260666,64,false,sjengelbretson2005,2025-11-10T00:02:17Z,"adult standards,classic soul","Atlantic Records",0.311,0.0264,0,-21.644,1,0.037,0.731,0.00205,0.156,0.139,120.653,4
spotify:track:3x7WkZ3hChulffEgIO0Fqf,"The Rose","You Light Up My Life","LeAnn Rimes",1997-09-09,213666,42,false,sjengelbretson2005,2025-11-10T00:02:24Z,"","Curb Records",0.525,0.261,2,-8.08,1,0.0288,0.385,0,0.156,0.146,124.687,4
spotify:track:7kjg3WVGVrW2czEekrT5JN,"SOMETHING IS HAPPENING TO ME","SLOWHOLE","SLOWHOLE",2024-10-04,199938,22,false,sjengelbretson2005,2025-11-10T00:02:31Z,"sludge metal,noise rock,drone metal","SLOWHOLE",0.243,0.659,2,-7.233,0,0.0481,0.00000995,0.981,0.313,0.089,112.718,4
spotify:track:6zeE5tKyr8Nu882DQhhSQI,"Dust in the Wind","Point Of Know Return (Expanded Edition)","Kansas",1977,206266,78,false,sjengelbretson2005,2025-11-10T00:02:39Z,"classic rock,progressive rock,aor","Epic/Legacy",0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503,4
spotify:track:0tVzXGFyNPusa1VkHmYDLd,"Help Me","Court and Spark","Joni Mitchell",1974-01-17,204186,58,false,sjengelbretson2005,2025-11-10T00:02:48Z,"folk,folk rock,singer-songwriter","Rhino",0.584,0.526,9,-10.081,0,0.0389,0.469,0.0000647,0.0756,0.637,82.028,4
spotify:track:5svDpPhrVSO25fJl1EljAo,"SUFFERING BRINGS WISDOM","Sonic Excess In Its Purest Form","Crowbar",2003-02-11,327466,47,false,sjengelbretson2005,2025-11-10T00:06:51Z,"sludge metal,stoner metal,doom metal,groove metal,drone metal","Indieblu Music",0.254,0.765,11,-6.898,1,0.068,0.00735,0.00217,0.118,0.172,96.27,4
spotify:track:1jHPgnGJnzHW4uP5VfnejF,"jehovah witness","roses are red, tears are blue — A Fountain Baby Extended Play","Amaarae",2024-06-28,136515,43,true,sjengelbretson2005,2025-11-10T00:07:35Z,"alté,afrobeats,afro r&b","Golden Angel/ Interscope Records",0.731,0.715,5,-7.082,0,0.0424,0.372,0.504,0.0957,0.779,137.075,4
spotify:track:73HHaZfEcbJGjhcrzmqVZw,".f33ling","Audio Diary","Casper Mcfadden",2020-02-26,163375,10,true,sjengelbretson2005,2025-11-10T05:33:17Z,"breakcore,speedcore,jungle,breakbeat,gabber","Casper Mcfadden",0.624,0.794,5,-8.648,0,0.138,0.011,0.72,0.109,0.0568,100.002,4
spotify:track:79IgD1wf3xltQdDK3l5Why,"In My Room","In My Room","Julia Wolf",2024-03-22,163874,74,false,sjengelbretson2005,2025-11-10T05:33:37Z,"","girls in purgatory",0.36,0.715,9,-5.17,1,0.0745,0.0342,0,0.219,0.386,159.749,4
spotify:track:2Gu2H8HRVuV9GOneJuYV5D,"Ever","Ever","After",2025-01-15,180672,46,false,sjengelbretson2005,2025-11-10T05:33:48Z,"","Ultraworld",0.457,0.737,5,-4.511,0,0.0345,0.0109,0.0000565,0.189,0.234,172.045,4
spotify:track:6SjCcZkzxxMpDAavPqTP29,"Freak Eyes","yes, please.","Sextile",2025-05-02,158777,38,false,sjengelbretson2005,2025-11-10T05:33:56Z,"darkwave,cold wave,post-punk,ebm,electroclash,deathrock","Sacred Bones Records",0.615,0.87,11,-5.392,0,0.0512,0.000377,0.326,0.0857,0.708,135.939,4
spotify:track:33Wh5qaiRVWuVIDnGGNlHh,"No Comma","No Comma","Slayyyter",2024-09-20,161266,58,true,sjengelbretson2005,2025-11-10T05:34:01Z,"hyperpop","Slayyyter",0.675,0.743,2,-5.694,1,0.242,0.0829,0.00000267,0.329,0.314,139.913,4
spotify:track:4C7Po57r65ZToYVFGJoGPN,"OKAY - Extended Mix","OKAY (Extended)","JT",2024-05-10,236985,48,true,sjengelbretson2005,2025-11-10T05:34:07Z,"","Quality Control Music/Motown Records",0.708,0.606,11,-6.098,1,0.176,0.00264,0,0.374,0.283,79.011,4
spotify:track:3jG871LY2NQZ3feGrV2n69,"Sweat - Remix","Black Widow","SixSaidIt",2024-08-02,155551,37,true,sjengelbretson2005,2025-11-10T05:34:12Z,"","Taste Records",0.827,0.555,9,-12.502,1,0.214,0.251,0.23,0.0673,0.612,120.004,4
spotify:track:0j0Kd7XQIH5yqZrHuCt8zW,"Been On","Been On","DEELA",2024-02-14,116365,31,true,sjengelbretson2005,2025-11-10T05:34:29Z,"alté","DEELA NATION",0.885,0.487,2,-9.928,1,0.215,0.372,0,0.11,0.343,131.992,4
spotify:track:4UewdamYCjn4PfaljS4RAn,"Kryptonite","Kryptonite","Aliyah's Interlude",2025-10-17,177693,40,true,sjengelbretson2005,2025-11-10T05:34:39Z,"","Not specified",0.808,0.753,5,-2.895,1,0.133,0.0609,0,0.157,0.377,113.987,4
spotify:track:4VjWhs9rWkI6n5jZTtkMAq,"DOD","City Cinderella","JT",2024-07-19,166956,54,true,sjengelbretson2005,2025-11-10T05:34:50Z,"","Quality Control Music/Motown Records",0.686,0.777,8,-6.661,1,0.0743,0.0263,0.0000253,0.246,0.225,183.984,4
spotify:track:0bVWdUisfrGXxgbZJApAve,"Amber Fade","Amber Fade","Tom Vernon",2021-05-07,345533,27,false,sjengelbretson2005,2025-11-10T05:35:00Z,"lo-fi house","Lost Palms",0.7,0.954,11,-7.656,0,0.0595,0.339,0.888,0.863,0.463,127.012,4
spotify:track:6AbPtd4Cxxkdzrda6E2WcO,"The Blue","When the Kite String Pops","Acid Bath",1994,373066,51,false,sjengelbretson2005,2025-11-10T05:35:06Z,"sludge metal,stoner metal,doom metal,drone metal","Rotten Records",0.297,0.875,5,-5.27,1,0.0566,0.0000775,0.743,0.0901,0.319,131.367,4
spotify:track:4jzAaknnQn3BWmvrkHCmXk,"Wet Like (feat. COBRAH)","Smoochies","Ashnikko;Cobrah",2025-10-17,161344,61,true,sjengelbretson2005,2025-11-10T05:35:12Z,"ballroom vogue,hyperpop","Parlophone UK",0.846,0.569,11,-5.959,0,0.195,0.0214,0.000198,0.146,0.349,118.993,4
spotify:track:3A5sIu67YXUs2vVqczLUEP,"1-800-FUCKOFF","KOREAN AMERICAN","kimj;underscores;umru",2025-08-15,147316,43,false,sjengelbretson2005,2025-11-10T05:35:19Z,"hyperpop,electroclash","youngkimj",0.463,0.73,9,-1.867,0,0.132,0.115,0.000209,0.0996,0.548,148.977,4
spotify:track:5MAScTGPHzWAeivPjpATa9,"My Woman, My Everything (feat. Wandecoal)","My Woman, My Everything (feat. Wandecoal) - Single","Patoranking;Wande Coal",2015-07-06,233717,54,false,sjengelbretson2005,2025-11-10T05:35:25Z,"afrobeats,afrobeat,afropop,azonto,hiplife,bongo flava,dancehall,afropiano,afro r&b,afroswing,alté","Greensleeves Records",0.902,0.845,11,-2.695,1,0.0644,0.0438,0,0.0867,0.625,112.005,4
