Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3GiJq4AQK7324mfIQbpiTf,"Custer",".5: The Gray Chapter (Special Edition)","Slipknot",2014-10-15,254466,75,true,sjengelbretson2005,2024-05-03T05:38:57Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.407,0.98,7,-1.58,1,0.107,0.00174,0.000112,0.119,0.537,131.066,4
spotify:track:4vVUoi4U6ikqH2wIoE2fmG,"Reincarnate","Reincarnate","Motionless In White",2014-09-15,220040,63,true,sjengelbretson2005,2024-05-03T05:41:23Z,"metalcore,metal","Fearless Records",0.478,0.992,7,-3.165,1,0.211,0.000245,0.000206,0.327,0.117,109.969,4
spotify:track:5mR858YsHYG761aUqZoGkD,"Symphony Of Destruction - Remastered 2012","Countdown To Extinction (Deluxe Edition - Remastered)","Megadeth",1992-06-14,241906,70,false,sjengelbretson2005,2024-05-03T05:41:29Z,"thrash metal,metal,heavy metal,speed metal","Capitol Records",0.663,0.91,4,-5.131,0,0.0495,0.00052,0.675,0.112,0.708,140.044,4
spotify:track:5qD3Qv8Wu3r5uRD0DahcZy,"Bow Down","TRAUMA","I Prevail",2019-03-29,242680,66,true,sjengelbretson2005,2024-05-03T05:41:42Z,"metalcore,metal","Fearless Records",0.426,0.959,0,-4.95,1,0.0525,0.0000536,0.00000654,0.707,0.372,155.01,4
spotify:track:07xFWwKPOApMS56ildsV0G,"Twist","Life Is Peachy","Korn",1996-10-15,49223,66,false,sjengelbretson2005,2024-05-03T05:42:07Z,"nu metal,metal,rap metal,alternative metal","Immortal/Epic",0.558,0.989,1,-5.041,0,0.158,0.395,0.0000981,0.375,0.635,83.071,4
spotify:track:2W2QiVQs0TugOUUYWgnV8E,"X","Am I A Girl?","Poppy",2018-10-31,174483,51,false,sjengelbretson2005,2024-05-03T05:42:36Z,"","Mad Decent",0.495,0.856,6,-4.105,0,0.0918,0.0235,0.00313,0.261,0.482,114.169,4
spotify:track:2gSVKxPDww9Eep5rdvtdem,"My Way","Chocolate Starfish And The Hot Dog Flavored Water","Limp Bizkit",2000-10-17,272973,79,true,sjengelbretson2005,2024-05-03T05:42:42Z,"nu metal,rap metal,alternative metal,rap rock","Interscope",0.577,0.864,6,-3.981,1,0.0462,0.02,0.00000171,0.683,0.609,97.225,4
spotify:track:2UH4BOPtTsRVQBy7abPdat,"Hypnosis","This Place Will Become Your Tomb","Sleep Token",2021-09-24,335960,68,false,sjengelbretson2005,2024-05-03T05:42:47Z,"progressive metal,metalcore","Spinefarm",0.466,0.936,10,-7.199,0,0.0678,0.00276,0.0186,0.105,0.376,148.028,4
spotify:track:1lM1ZHTvfKi5CMRjsZ4Sg9,"Hollow","Vulgar Display of Power","Pantera",1992-02-21,345733,66,true,sjengelbretson2005,2024-05-03T05:43:02Z,"groove metal,metal,thrash metal,heavy metal","Atlantic Records",0.273,0.688,11,-10.883,1,0.0326,0.0000948,0.0504,0.051,0.347,100.077,4
spotify:track:6Nm8h73ycDG2saCnZV8poF,"Dragula","Hellbilly Deluxe","Rob Zombie",1998-01-01,222826,80,false,sjengelbretson2005,2024-05-03T05:43:09Z,"industrial metal,industrial rock,alternative metal,metal,nu metal","Geffen",0.59,0.963,0,-6.489,0,0.0676,0.0000875,0.000105,0.0781,0.586,125.033,4
spotify:track:5a2hIQWInPjqkkFiUEgxoX,"Peace Sells - Remastered","Peace Sells...But Who's Buying (Deluxe Edition - Remastered)","Megadeth",1986,244160,63,false,sjengelbretson2005,2024-05-03T05:43:21Z,"thrash metal,metal,heavy metal,speed metal","Capitol Records",0.322,0.932,4,-4.252,0,0.163,0.0000857,0.817,0.0969,0.376,138.042,4
spotify:track:6TlZSSNZd397eYRzbu5SaT,"Please End Me","Please End Me","Paleface Swiss",2023-06-14,191744,52,true,sjengelbretson2005,2024-05-03T05:43:28Z,"deathcore,metalcore,metal","Blood Blast Distribution",0.34,0.972,10,-3.356,0,0.196,0.000196,0.0000184,0.0377,0.267,92.502,4
spotify:track:7f5pVscGqWGPmzyAJ3thAI,"Orchid - 2014 Remaster","Master of Reality (2014 Remaster)","Black Sabbath",1971-07-21,90782,48,false,sjengelbretson2005,2024-05-03T05:43:33Z,"metal,heavy metal,rock,stoner rock,doom metal,hard rock","Rhino/Warner Records",0.492,0.0499,11,-28.814,1,0.0484,0.753,0.834,0.139,0.631,101.366,3
spotify:track:2MjXWroB9wlTG2kqv3avfS,"Get It Sexyy","Get It Sexyy","Sexyy Red",2024-03-15,148551,68,true,sjengelbretson2005,2024-05-03T05:43:44Z,"","Open Shift/gamma.",0.811,0.64,5,-5.63,0,0.274,0.0957,0,0.127,0.527,145.031,4
spotify:track:4LadsagnXZM7SEOpHjHIHA,"Looking For The Hoes (Ain’t My Fault)","Hood Hottest Princess","Sexyy Red",2023-06-09,130707,70,true,sjengelbretson2005,2024-05-03T05:43:53Z,"","Open Shift/gamma.",0.738,0.608,8,-6.727,0,0.321,0.0267,0,0.359,0.485,75.511,4
