Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6aJn7Cst74cj4lNIiPRgav,"Touch","Touch","KATSEYE",2024-07-26,129882,86,false,sjengelbretson2005,2024-09-09T17:16:50Z,"k-pop","HYBE/Geffen",0.739,0.904,5,-2.655,0,0.0442,0.549,0.0000103,0.0948,0.788,167.033,4
spotify:track:7s05wmY7L3uFjPp5nXg2yZ,"Motivation is Dead","Antenna","PinocchioP",2015-12-31,287989,25,false,sjengelbretson2005,2024-09-09T17:16:56Z,"vocaloid","PinocchioP",0.679,0.922,2,-2.303,1,0.0715,0.129,0.0000671,0.268,0.668,127.934,4
spotify:track:5fRvePkRGdpn2nKacG7I6d,"Coco Jamboo","We See The Same Sun","Mr. President",1996-05-17,218733,75,false,sjengelbretson2005,2024-09-09T17:17:03Z,"eurodance","First Class Dancefloor Music",0.832,0.838,1,-5.414,0,0.0421,0.0791,0,0.152,0.965,100.021,4
spotify:track:2ZqTbIID9vFPTXaGyzbb4q,"Neva Play (feat. RM of BTS)","Neva Play (feat. RM of BTS)","Megan Thee Stallion;RM",2024-09-06,157173,68,true,sjengelbretson2005,2024-09-09T17:17:09Z,"k-pop,k-rap","Hot Girl Productions",0.826,0.756,2,-4.984,1,0.256,0.0203,0,0.0915,0.794,160.01,4
spotify:track:5is9ECympHEpAyTw22IDC5,"Don't Lie","Don't Lie","The Chainsmokers;Kim Petras",2024-09-06,148101,51,false,sjengelbretson2005,2024-09-09T17:17:14Z,"","Disruptor Records/Columbia",0.823,0.826,9,-3.858,0,0.0414,0.0653,0.0065,0.066,0.843,135.046,4
spotify:track:3bvm2dCCH4sNYS1YBDP5mN,"The Blood - 2006 Remaster","The Head on the Door (Deluxed Edition)","The Cure",1985-08-26,223106,34,false,sjengelbretson2005,2024-09-09T17:17:20Z,"new wave,post-punk,gothic rock,darkwave","Rhino/Elektra",0.697,0.703,11,-8.357,1,0.0352,0.467,0.00149,0.131,0.768,124.211,4
spotify:track:5fHSOGdo0f7kQ1utFRsWck,"All She Wants (feat. Paris Hilton)","Problématique","Kim Petras;Paris Hilton",2023-09-18,232666,40,true,sjengelbretson2005,2024-09-09T17:17:25Z,"","Republic Records",0.7,0.836,9,-4.219,1,0.0693,0.000172,0.000266,0.193,0.847,129.96,4
spotify:track:1pV5F1gPG8GGicwWpUbnRg,"Yell","Yell","DEBOAR;Mion Nite",2021-12-22,259715,26,false,sjengelbretson2005,2024-09-09T17:17:31Z,"","DEBOAR",0.569,0.743,7,-9.533,0,0.0537,0.428,0.0207,0.108,0.34,127.931,4
spotify:track:6fpqzhSCpzGQthHJGA3j6u,"Moodboard","Moodboard","Aliyah's Interlude",2024-09-06,132493,32,true,sjengelbretson2005,2024-09-09T17:17:36Z,"","Not specified",0.861,0.803,6,-4.426,1,0.19,0.0321,0.0000489,0.136,0.809,124.014,4
spotify:track:2FC82Ws0t43Qrv5cX0KlfS,"Häschenparty (feat. Michael Wendler) - Single Version","Unbesiegt","Schnuffel;Michael Wendler",2009-01-12,188946,47,false,sjengelbretson2005,2024-09-09T17:17:42Z,"europop,eurodance,nightcore,schlager,schlagerparty","Ariola",0.782,0.784,0,-5.371,0,0.0419,0.398,0.0000263,0.306,0.897,132.014,4
spotify:track:0SogCpmFQS6nZiuL7pxeMR,"Ich hab' dich lieb","Ich hab' dich lieb","Schnuffel",2008-05-09,204680,49,false,sjengelbretson2005,2024-09-09T17:17:46Z,"europop,eurodance,nightcore","Sony BMG Music Entertainment",0.684,0.843,1,-5.842,1,0.0395,0.0957,0.373,0.174,0.708,134.032,4
spotify:track:1WEuFo0CVyIffkNYBZXBYB,"Dubidubi Du","Doo Bee Doo Bee Doo","Schnuffel",2014-06-20,189603,31,false,sjengelbretson2005,2024-09-09T17:17:51Z,"europop,eurodance,nightcore","Jamstar Records",0.719,0.921,4,-4.464,1,0.0321,0.493,0.00498,0.103,0.893,95.975,4
