Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1x8iGW0Kpk0VoX1c1C3cAZ,"Yeah, Yeah!","Tate Tuesday, Vol. 1","Baby Tate",2024-10-29,157546,17,true,sjengelbretson2005,2024-11-07T21:03:11Z,"","2024 Sekoya Spectrum, LLC. / LVRN (Love Rennaisance)",0.628,0.745,2,-7.242,1,0.146,0.172,0,0.372,0.543,163.945,4
spotify:track:2owaOpvrM3m6l7p3q8eAKc,"Super Sick","Tate Tuesday, Vol. 1","Baby Tate",2024-10-29,126400,22,true,sjengelbretson2005,2024-11-07T21:03:17Z,"","2024 Sekoya Spectrum, LLC. / LVRN (Love Rennaisance)",0.788,0.704,9,-7.032,1,0.27,0.0101,0,0.0458,0.936,149.983,4
spotify:track:5lov1pcwDVARb0lMbZKzd7,"Babysitter","Tate Tuesday, Vol. 1","Baby Tate",2024-10-29,181978,17,true,sjengelbretson2005,2024-11-07T21:03:22Z,"","2024 Sekoya Spectrum, LLC. / LVRN (Love Rennaisance)",0.71,0.632,11,-4.983,0,0.366,0.0309,0,0.349,0.923,135.986,3
spotify:track:3m0oTOYuZlqu6kTtoeulOw,"Straight","Tate Tuesday, Vol. 1","Baby Tate",2024-10-29,157575,23,true,sjengelbretson2005,2024-11-07T21:03:28Z,"","2024 Sekoya Spectrum, LLC. / LVRN (Love Rennaisance)",0.539,0.843,3,-4.986,0,0.477,0.161,0,0.213,0.895,123.898,5
spotify:track:5mjkdku1YmRIfOxX0S1OID,"5th Chakra","Tate Tuesday, Vol. 1","Baby Tate",2024-10-29,102000,16,true,sjengelbretson2005,2024-11-07T21:03:34Z,"","2024 Sekoya Spectrum, LLC. / LVRN (Love Rennaisance)",0.644,0.746,1,-5.145,1,0.19,0.22,0,0.0459,0.714,111.639,5
spotify:track:6tAKikIvnoWfUeZrfkopLL,"Friesenjung","Friesenjung","Ski Aggu;Joost;Otto Waalkes",2023-05-25,146086,67,true,sjengelbretson2005,2024-11-07T21:03:44Z,"german indie,german hip hop,german indie pop,gabber,europop","jungeratze & Albino Sports",0.777,0.979,11,-4.523,0,0.126,0.0172,0.000163,0.195,0.896,160.999,4
spotify:track:6XsT5UGfpaFeHQf5LRIy4W,"Me, Myself and I","Dangerously In Love","Beyoncé",2003-06-24,301133,63,false,sjengelbretson2005,2024-11-07T21:03:57Z,"","Columbia",0.75,0.458,1,-9.092,1,0.0803,0.226,0.0000325,0.137,0.536,83.61,4
spotify:track:3k37BDB7RmEl4TvmsdLNdI,"Poongdung","﻿cignature 5th EP Album 'Sweetie but Saltie'","cignature",2024-06-10,186906,34,false,sjengelbretson2005,2024-11-07T21:04:03Z,"k-pop","C9 Entertainment",0.613,0.913,2,-3.24,1,0.0849,0.0395,0,0.408,0.539,119.914,4
spotify:track:2HYsPCvdZwBPT1FV7c8JGN,"LX-777 (Lunar Data)","LX-777 (Lunar Data)","Starjunk 95",2024-01-26,160235,48,false,sjengelbretson2005,2024-11-07T21:04:10Z,"rally house,breakcore","broke",0.492,0.971,0,-3.001,1,0.0496,0.0206,0.922,0.0955,0.211,169.984,4
spotify:track:4rNGcibLZv61RyXrhFTAGt,"Daybreak","This One's For You","Barry Manilow",1976,187160,37,false,sjengelbretson2005,2024-11-07T21:04:16Z,"yacht rock,adult standards","Arista/Legacy",0.518,0.738,4,-6.494,1,0.0286,0.148,0.000499,0.11,0.758,111.359,4
spotify:track:5lE64uyiHhhSwS01VI4pV6,"Buurman Uit Berlijn","Buurman Uit Berlijn","MCR-T;Joost",2024-02-02,285176,53,true,sjengelbretson2005,2024-11-07T21:04:24Z,"miami bass,gabber,europop","Live From Earth",0.784,0.963,7,-4.867,1,0.222,0.0487,0.0128,0.08,0.664,170.023,4
spotify:track:2cYVtBHkrkk7F2qU2Y7Fn0,"Dhoom Machale","Dhoom","Pritam;Sunidhi Chauhan;Sameer Anjaan",2004-07-16,375118,55,false,sjengelbretson2005,2024-11-07T21:04:31Z,"bollywood,hindi pop,desi","YRF Music",0.778,0.918,11,-5.023,0,0.12,0.055,0.000319,0.348,0.487,101.44,4
spotify:track:2aCtnRvMMJxPjQuEJiFJvE,"Deep Blue Town e Oide yo","Deep Blue Town e Oide yo","Team Umifure",2017-11-01,199640,26,false,sjengelbretson2005,2024-11-07T21:04:41Z,"","PONY CANYON INC.",0.622,0.961,4,-3.655,0,0.164,0.0463,0.00000555,0.331,0.771,159.939,4
spotify:track:6R30BO0qA3NSIg6yzsqao8,"Catchit","Catchit","S3RL",2015-06-03,211200,46,false,sjengelbretson2005,2024-11-07T21:04:55Z,"happy hardcore,nightcore,hyperpop","Emfa Music",0.573,0.874,11,-1.473,0,0.0756,0.0999,0,0.14,0.531,175.087,4
spotify:track:51qs2DBzG2ANnZgkgXrVzO,"I Will Pick You up (feat. Tamika)","I Will Pick You up (feat. Tamika)","S3RL;Tamika",2013-09-18,222171,45,false,sjengelbretson2005,2024-11-07T21:05:01Z,"happy hardcore,nightcore,hyperpop","Emfa Music",0.459,0.995,6,-1.874,1,0.228,0.000194,0.00401,0.248,0.287,174.967,4
spotify:track:2bqJWIjLpARE9wga2UY9jH,"DANCE - S3RL Remix","DANCE (S3RL Remix)","RomancePlanet;S3RL",2024-10-25,185142,0,false,sjengelbretson2005,2024-11-07T21:05:07Z,"hyperpop,happy hardcore,nightcore","ROMANCEPLANET",0.512,0.96,8,-1.685,0,0.471,0.000574,0.0000175,0.353,0.485,175,4
spotify:track:5klmEhYEDqfGQ6yK2tlwEe,"JUMPSTYLE PARTY","JUMPSTYLE PARTY","RomancePlanet",2024-07-19,104571,0,false,sjengelbretson2005,2024-11-07T21:05:16Z,"hyperpop","ROMANCEPLANET",0.518,0.96,11,-3.736,1,0.235,0.0261,0.00913,0.326,0.662,149.776,4
spotify:track:0iOJT6zDB6UNfVf6RFZuLG,"IPHONE","IPHONE","RomancePlanet",2024-04-19,103547,0,false,sjengelbretson2005,2024-11-07T21:05:21Z,"hyperpop","ROMANCEPLANET",0.441,0.935,6,-6.108,1,0.447,0.0397,0.000564,0.325,0.391,152.626,4
