Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2grjqo0Frpf2okIBiifQKs,"September","The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",1978-11-23,215005,75,false,sjengelbretson2005,2020-11-02T01:31:26Z,"funk,disco","Columbia/Legacy",0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,4
spotify:track:3koCCeSaVUyrRo3N2gHrd8,"Let's Groove","Raise!","Earth, Wind & Fire",1981-11-14,339018,82,false,sjengelbretson2005,2020-11-02T01:31:50Z,"funk,disco","Legacy Recordings",0.869,0.648,11,-8.698,0,0.0633,0.121,0.0000217,0.126,0.9,125.035,4
spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,"Sweater Weather","I Love You.","The Neighbourhood",2013-04-22,240400,92,false,sjengelbretson2005,2020-11-02T01:34:22Z,"","Columbia",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
spotify:track:7dL8FCLzEaWC2A3qWQuz1q,"What You Won't Do for Love","What You Won't Do for Love","Bobby Caldwell",1991-10-10,286493,0,false,sjengelbretson2005,2020-11-02T01:38:57Z,"yacht rock","Big Deal Records",0.642,0.397,6,-16.842,1,0.0639,0.461,0.000834,0.106,0.798,84.064,4
spotify:track:48Kszfw1hinlKdMrnE85sg,"Comfort Crowd","Comfort Crowd","Conan Gray",2019-09-05,174693,0,false,sjengelbretson2005,2020-11-02T01:39:50Z,"","Republic Records",0.684,0.433,0,-6.789,1,0.0323,0.167,0.00000204,0.163,0.406,91.007,4
spotify:track:7KJXiuMXQu723ODChoxENp,"Greek God","Sunset Season","Conan Gray",2018-11-16,236746,57,false,sjengelbretson2005,2020-11-02T01:40:04Z,"","Republic Records",0.572,0.82,6,-6.4,0,0.0764,0.157,0.00000721,0.109,0.144,139.003,4
spotify:track:3SFnloABPd4n3d2B2KU2Zd,"Bossa No Sé (feat. Jean Carter)","Bossa No Sé (feat. Jean Carter)","Cuco;Jean Carter",2019-05-22,201263,0,true,sjengelbretson2005,2020-11-02T01:40:33Z,"bedroom pop","Cuco / Interscope PS",0.826,0.677,4,-5.401,1,0.0461,0.512,0,0.115,0.433,134.118,4
spotify:track:0ofHAoxe9vBkTCp2UQIavz,"Dreams - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,257800,90,false,sjengelbretson2005,2020-11-02T01:41:08Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
spotify:track:21fU6N1d4Yivo75T1qzzaf,"Harry Dean","Drive North","SWMRS",2016-10-14,169133,27,true,sjengelbretson2005,2020-11-02T01:52:23Z,"","uncool records/Fueled By Ramen",0.505,0.951,7,-5.377,1,0.129,0.000144,0.00998,0.339,0.341,94.989,4
spotify:track:6YpQveVXn9riseXRzQSJSr,"Drive North","Drive North","SWMRS",2016-10-14,202893,32,true,sjengelbretson2005,2020-11-02T01:52:28Z,"","uncool records/Fueled By Ramen",0.349,0.953,9,-3.247,1,0.148,0.00228,0.00567,0.229,0.191,96.643,4
spotify:track:0KeB5CEEH21petK6kAU0Zn,"D'You Have A Car?","Drive North","SWMRS",2016-10-14,198773,40,false,sjengelbretson2005,2020-11-02T01:52:32Z,"","uncool records/Fueled By Ramen",0.565,0.939,6,-4.096,0,0.133,0.000984,0,0.261,0.519,105.088,4
spotify:track:3sa1wUB8FAkoH95MGPGBWI,"Michelle","Michelle","Sir Chloe",2019-04-11,214087,0,false,sjengelbretson2005,2020-11-02T01:52:47Z,"","Terrible Records",0.366,0.439,4,-5.238,1,0.0298,0.0781,0.0000192,0.108,0.11,115.94,3
spotify:track:57MPlXPzzMql6fTyldNAxe,"A Cruel Angel's Thesis - Director's Edit Version","Neon Genesis Evangelion (Original Series Soundtrack)","Shiro SAGISU;Yoko Takahashi",2019-06-21,245093,0,false,sjengelbretson2005,2020-11-02T01:52:55Z,"anime,soundtrack,j-pop","Milan Records",0.646,0.676,0,-9.477,0,0.0431,0.0339,0.00000199,0.13,0.59,128.128,4
spotify:track:5P40ENp11yXDDAxZ5O03MG,"I Wish You Love","I Wish You Love","Shayne Orok",2020-03-29,100540,28,false,sjengelbretson2005,2020-11-02T01:53:04Z,"anime","Shayne Orok",0.841,0.536,1,-11.26,0,0.0905,0.172,0.000251,0.315,0.806,111.019,4
spotify:track:77jV8Yex5yCKMr8D29ZLrG,"Seasick","Seasick","Sam Alexander",2019-10-25,225825,16,false,sjengelbretson2005,2020-11-02T01:53:12Z,"","Sam Alexander Music",0.576,0.264,3,-15.255,1,0.0296,0.682,0.169,0.143,0.0459,123.057,4
spotify:track:5jvgec3P4jyoZUPTy2pWDR,"Line Without a Hook","Montgomery Ricky","Ricky Montgomery",2016-04-08,249586,0,false,sjengelbretson2005,2020-11-02T01:53:40Z,"","Ricky Montgomery Records",0.432,0.652,8,-4.969,1,0.0285,0.262,0,0.258,0.507,190.028,3
spotify:track:1rRwooq5cANY26SlmP2G0c,"Last Night","Montgomery Ricky","Ricky Montgomery",2016-04-08,243853,0,false,sjengelbretson2005,2020-11-02T01:54:00Z,"","Ricky Montgomery Records",0.54,0.955,4,-3.723,1,0.0767,0.000541,0,0.379,0.808,138.034,4
spotify:track:7eqNATKM78MkWP6aHGXHEV,"Put Your Head on My Shoulder","Sings His Favorites","Paul Anka",1966,155083,59,false,sjengelbretson2005,2020-11-02T01:54:22Z,"adult standards","RCA/Legacy",0.549,0.433,7,-8.526,1,0.0327,0.906,0.0108,0.0774,0.486,116.068,3
spotify:track:0sHFw13WH3LtSB3yP8UMYJ,"Falling for U","Falling for U","Peachy!;mxmtoon",2017-08-14,124000,0,false,sjengelbretson2005,2020-11-02T01:54:28Z,"bedroom pop,indie pop","Peachy!",0.516,0.358,8,-12.018,0,0.424,0.743,0.0000013,0.0813,0.397,79.509,4
spotify:track:7gjz84aDBUCSjJiGfv3byP,"Timebomb","Timebomb","Nico Collins",2019-04-01,177493,40,false,sjengelbretson2005,2020-11-02T01:54:40Z,"nightcore","Nico Collins",0.445,0.924,6,-3.638,0,0.171,0.121,0,0.0588,0.744,173.884,4
spotify:track:463r5bsN1VqGXtaMctn4Rr,"It's Been So Long","It's Been So Long","The Living Tombstone",2014-12-04,174394,75,false,sjengelbretson2005,2020-11-02T01:55:58Z,"","Ghost Pixel Records",0.564,0.647,10,-6.759,0,0.0407,0.114,0,0.17,0.458,95.923,4
spotify:track:0qpSvzE0Rws3gVZNZCf04v,"XNXX","BALLADS 1","Joji",2018-10-26,127318,0,true,sjengelbretson2005,2020-11-02T01:56:25Z,"","88rising Music/Warner Records",0.388,0.52,2,-8.354,1,0.0593,0.257,0.185,0.113,0.196,84.851,4
spotify:track:13Soih2NRLeDx8Unbr22mx,"Candy Store","Heathers: The Musical (World Premiere Cast Recording)","Jessica Keenan Wynn;Alice Lee;Elle McLemore",2014-06-10,172826,64,true,sjengelbretson2005,2020-11-02T01:56:42Z,"musicals","Yellow Sound Label",0.728,0.525,1,-5.91,0,0.171,0.585,0,0.0962,0.779,141.855,4
spotify:track:5Ohxk2dO5COHF1krpoPigN,"Sign of the Times","Harry Styles","Harry Styles",2017-05-12,340706,88,false,sjengelbretson2005,2020-11-02T01:57:08Z,"","Columbia",0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,4
