Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2dOUErBzFZJ8l7MbV6FcYW,"Queen Space (with Summer Walker)","age/sex/location","Ari Lennox;Summer Walker",2022-09-09,230841,41,false,sjengelbretson2005,2023-01-28T06:09:34Z,"alternative r&b,neo soul,r&b","Dreamville/Interscope Records",0.793,0.601,7,-6.309,0,0.0658,0.165,0.000236,0.0853,0.576,135.053,4
spotify:track:5VQagemEOLpJJikcLzDNYR,"Crazy Tings","Crazy Tings","Tems",2021-09-10,182400,57,false,sjengelbretson2005,2023-01-28T06:10:10Z,"afrobeats,afro r&b,alté,afrobeat","RCA Records/Since 93'",0.659,0.502,6,-11.088,0,0.405,0.556,0.0000546,0.0953,0.497,199.891,4
spotify:track:3pcxxaUxAMSfz2zgetHydD,"Insane","Still Over It","Summer Walker",2021-11-05,189905,58,true,sjengelbretson2005,2023-02-05T04:36:45Z,"r&b","LVRN/Interscope Records",0.39,0.607,3,-8.056,1,0.303,0.632,0.000162,0.138,0.347,161.625,4
spotify:track:3XgGQ1wjo5khvq2UImjyNF,"ALL MINE","WASTELAND","Brent Faiyaz",2022-07-08,216062,78,true,sjengelbretson2005,2023-02-05T04:37:12Z,"r&b","Lost Kids LLC., Marketed by Venice / Stem",0.617,0.378,9,-8.54,1,0.0315,0.428,0.0000916,0.11,0.22,141.967,4
spotify:track:4MbzauKV2ydtZZjLsPcuTF,"Spread Thin","Buckles Laboratories Presents: The Intermission","Mariah the Scientist",2022-03-11,202519,75,false,sjengelbretson2005,2023-02-05T04:37:41Z,"alternative r&b","One Umbrella/RCA Records",0.621,0.411,6,-8.261,0,0.0333,0.0553,0,0.0816,0.357,110.113,4
spotify:track:2Fyjjpg03fn7n5cj0Qm380,"Karma","Last Day Of Summer","Summer Walker",2018-10-19,188906,70,false,sjengelbretson2005,2023-02-05T04:38:32Z,"r&b","LVRN/Interscope Records",0.593,0.294,1,-10.072,0,0.0499,0.345,0.0000203,0.287,0.152,113.847,4
spotify:track:5NijSs5dAwaIybq1GaRTIe,"Poison","Poison","Brent Faiyaz",2016-08-03,212992,76,false,sjengelbretson2005,2023-02-06T06:29:18Z,"r&b","Lost Kids",0.689,0.394,2,-10.102,0,0.065,0.711,0.000905,0.0859,0.382,117.489,3
spotify:track:4TLJNON6mZLpfZX3g4Oh8B,"IN THE AIR","COLORWAY","DESTIN CONRAD",2021-03-05,136695,59,false,sjengelbretson2005,2023-02-05T04:39:21Z,"alternative r&b","DESTIN CONRAD",0.794,0.389,8,-6.132,1,0.0545,0.0375,0.00194,0.109,0.259,114.92,4
spotify:track:72ZrqClOsbyE8gdeW28EMy,"Body","Over It (Complete Set)","Summer Walker",2020-11-20,193840,40,true,sjengelbretson2005,2023-01-28T06:10:19Z,"r&b","LVRN/Interscope Records",0.554,0.507,11,-6.099,0,0.166,0.246,0,0.283,0.34,137.876,4
spotify:track:7lARcL3Gu0wKcPcQ3t9xiF,"Queen of the Night - Radio Edit","The Bodyguard - Original Soundtrack Album","Whitney Houston",1992-11-17,188600,54,false,sjengelbretson2005,2023-01-28T06:10:27Z,"","Arista",0.741,0.899,0,-7.13,1,0.0445,0.000656,0.0137,0.0991,0.757,104.895,4
spotify:track:7tUEDtHchueeUJTfEFEhii,"Right Here - Human Nature Radio Mix","It's About Time","SWV",1992-10-27,226946,62,false,sjengelbretson2005,2023-02-05T04:39:58Z,"new jack swing,r&b","RCA Records Label",0.615,0.72,9,-5.16,0,0.0658,0.068,0.0105,0.0889,0.696,94.002,4
spotify:track:7L4G39PVgMfaeHRyi1ML7y,"Day Dreaming","Young, Gifted and Black","Aretha Franklin",1972-01-24,239960,61,false,sjengelbretson2005,2023-01-28T06:10:34Z,"soul,motown,classic soul","Rhino Atlantic",0.463,0.273,0,-15.364,0,0.074,0.907,0.000367,0.101,0.293,146.426,4
spotify:track:7fn9QWaW8X8BmHmII1mHsB,"Miss Amor","Broke with Expensive Taste","Azealia Banks",2014-11-07,268538,0,true,sjengelbretson2005,2023-01-28T06:10:57Z,"ballroom vogue,hip house","Prospect Park",0.417,0.901,7,-6.471,1,0.127,0.028,0.000172,0.301,0.811,126.9,4
