Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:61bwFjzXGG1x2aZsANdLyl,"money machine","1000 gecs","100 gecs;Laura Les;Dylan Brady",2019-05-31,114460,58,true,sjengelbretson2005,2020-10-19T19:37:07Z,"hyperpop,glitch","Dog Show Records",0.68,0.659,6,-7.186,1,0.151,0.229,0,0.474,0.75,98.877,4
spotify:track:2hGQDYmjkwTS0J7Q2bM2sF,"Mind Is A Prison","These Two Windows","Alec Benjamin",2020-05-29,161697,61,false,sjengelbretson2005,2020-10-19T19:37:25Z,"","P2020",0.656,0.645,5,-5.442,0,0.0397,0.504,0,0.18,0.669,75.473,4
spotify:track:2W0AJEbIC2vdZTV2nVSAsg,"Outrunning Karma","Narrated For You","Alec Benjamin",2018-11-16,188850,65,false,sjengelbretson2005,2020-10-19T19:37:31Z,"","2018",0.416,0.649,11,-5.271,0,0.0385,0.655,0.00000282,0.12,0.474,112.482,3
spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,"Electric Love","Dopamine","BØRNS",2015-10-16,218106,79,false,sjengelbretson2005,2020-10-19T19:38:02Z,"","UMGRI Interscope",0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
spotify:track:0vf2eBw2inhl8y61cYQMv2,"Devil Town","Cavetown","Cavetown",2015-11-09,179955,71,false,sjengelbretson2005,2020-10-19T19:38:10Z,"bedroom pop","Oat Milk Industries and Many Hats Endeavors",0.576,0.759,3,-8.165,1,0.0599,0.12,0,0.121,0.501,99.969,4
spotify:track:4NyQwUbqvKp9RQAdhqAHX0,"Drunk n Disorderly","High Risk Behaviour","The Chats",2020-03-27,75760,44,true,sjengelbretson2005,2020-10-19T19:38:22Z,"punk","Bargain Bin Records",0.509,0.733,9,-5.909,1,0.126,0.0165,0,0.404,0.676,109.736,4
spotify:track:6XBVxi3Nqbrq3jpxIegjVW,"The Clap","High Risk Behaviour","The Chats",2020-03-27,89640,41,true,sjengelbretson2005,2020-10-19T19:38:25Z,"punk","Bargain Bin Records",0.651,0.693,2,-6.15,1,0.0929,0.0177,0.00000593,0.0411,0.967,91.035,4
spotify:track:5nw2rQXAjfpZNaMzAJ8qTX,"Smoko","Get This In Ya","The Chats",2017-07-31,179526,55,false,sjengelbretson2005,2020-10-19T19:38:30Z,"punk","Bargain Bin Records",0.675,0.615,11,-10.674,1,0.0538,0.00395,0.0041,0.166,0.25,86.703,4
spotify:track:6efrNjO7qLfIcvdSa81J86,"Moth Man","Moth Man","Dirty Bynum",2020-07-24,155194,39,false,sjengelbretson2005,2020-10-19T19:38:40Z,"","Dirty Bynum",0.406,0.771,0,-9.912,1,0.0547,0.0000131,0,0.142,0.619,184.412,4
spotify:track:6JyUhML2CG3PCRMBceWNhZ,"I Feel Bad","I Feel Bad","I Hate Myself Because",2020-01-26,98700,46,false,sjengelbretson2005,2020-10-19T19:39:03Z,"","I Hate Myself Because",0.486,0.803,8,-5.117,1,0.182,0.856,0.00595,0.143,0.773,124.662,4
spotify:track:2ebLxzlmAdk9fzfxXt25xD,"Stars - Live","Les Misérables: In Concert at the Royal Albert Hall","Les Misérables - 10th Anniversary Concert Cast",1996,206466,0,false,sjengelbretson2005,2020-10-19T19:39:22Z,"","First Night Records",0.359,0.303,4,-15.653,1,0.0622,0.874,0,0.813,0.287,96.056,3
spotify:track:611nlMA40SKg9gQ4pTVXT3,"Discord","Discord","The Living Tombstone;Eurobeat Brony",2012-01-21,193776,63,false,sjengelbretson2005,2020-10-19T19:39:26Z,"","628798 Records DK2",0.676,0.835,8,-4.382,0,0.044,0.00682,0.0000304,0.081,0.8,104.987,4
spotify:track:5d5vbFsYB7EebhVgafqvKS,"Ghost Choir","Ghost Choir","Louie Zong",2018-10-23,97842,46,false,sjengelbretson2005,2020-10-19T19:39:34Z,"","Fuji Apple Records",0.496,0.0868,7,-20.84,1,0.0299,0.976,0.00983,0.0966,0.0511,66.991,4
